TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7SJN,fold_7sjn_3_model_3,0.83584356,0.557
7SJN,fold_7sjn_2_model_2,0.82882619,0.565
7SJN,fold_7sjn_2_model_0,0.82107329,0.557
7SJN,fold_7sjn_5_model_2,0.81605101,0.899
7SJN,fold_7sjn_3_model_2,0.81374478,0.562
7SJN,fold_7sjn_3_model_4,0.81302363,0.566
7SJN,fold_7sjn_2_model_3,0.81160569,0.556
7SJN,fold_7sjn_4_model_1,0.80920929,0.561
7SJN,fold_7sjn_3_model_0,0.79979116,0.557
7SJN,fold_7sjn_4_model_3,0.79482156,0.556
7SJN,fold_7sjn_1_model_1,0.7891953,0.895
7SJN,fold_7sjn_5_model_1,0.7887277,0.89
7SJN,fold_7sjn_1_model_3,0.78755802,0.893
7SJN,fold_7sjn_1_model_2,0.78154057,0.9
7SJN,fold_7sjn_3_model_1,0.77878958,0.55
7SJN,fold_7sjn_1_model_4,0.77635431,0.887
7SJN,fold_7sjn_4_model_0,0.76696587,0.552
7SJN,fold_7sjn_4_model_2,0.76439267,0.559
7SJN,fold_7sjn_4_model_4,0.7500667,0.603
7SJN,fold_7sjn_5_model_4,0.74159575,0.893
7SJN,fold_7sjn_1_model_0,0.7349996,0.888
7SJN,fold_7sjn_2_model_1,0.73301864,0.549
7SJN,fold_7sjn_2_model_4,0.71352786,0.567
7SJN,fold_7sjn_5_model_3,0.70277917,0.872
7SJN,fold_7sjn_5_model_0,0.61627525,0.89
