MODEL,PRED_DOCKQ
fold_7su1_2_model_2,0.70921355
fold_7su1_3_model_4,0.66360605
fold_7su1_4_model_3,0.64729881
fold_7su1_1_model_3,0.63747019
fold_7su1_2_model_4,0.63128704
fold_7su1_3_model_0,0.62389863
fold_7su1_1_model_0,0.6083734
fold_7su1_1_model_4,0.60110021
fold_7su1_1_model_1,0.58872974
fold_7su1_5_model_0,0.58712572
fold_7su1_2_model_0,0.58004475
fold_7su1_4_model_0,0.56604409
fold_7su1_2_model_1,0.56066746
fold_7su1_5_model_1,0.55831283
fold_7su1_4_model_4,0.5577606
fold_7su1_5_model_4,0.55599248
fold_7su1_5_model_2,0.55564082
fold_7su1_4_model_1,0.54916108
fold_7su1_3_model_3,0.54639345
fold_7su1_1_model_2,0.53141654
fold_7su1_5_model_3,0.51314878
fold_7su1_3_model_2,0.49951315
fold_7su1_3_model_1,0.48417091
fold_7su1_2_model_3,0.44728136
fold_7su1_4_model_2,0.43936363
