TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
6A0Z,model_4_multimer_20220423_588683,0.49622568,0.07
6A0Z,model_3_multimer_20220423_192075,0.44242808,0.108
6A0Z,model_5_multimer_20220423_192075,0.29777536,0.076
6A0Z,model_5_multimer_20220423_588683,0.28731394,0.084
6A0Z,model_3_multimer_20220423_789739,0.24771351,0.106
6A0Z,model_5_multimer_20220423_789739,0.23663317,0.083
6A0Z,ranked_2,0.18269563,0.084
6A0Z,model_1_multimer_20220423_843835,0.18269563,0.084
6A0Z,ranked_1,0.17877744,0.082
6A0Z,model_3_multimer_20220423_843835,0.17877744,0.082
6A0Z,model_3_multimer_20220423_588683,0.17352685,0.107
6A0Z,model_1_multimer_20220423_192075,0.16455796,0.084
6A0Z,model_4_multimer_20220423_789739,0.16384137,0.134
6A0Z,model_5_multimer_20220423_891832,0.14846152,0.061
6A0Z,model_3_multimer_20220423_891832,0.14470871,0.29
6A0Z,model_1_multimer_20220423_588683,0.14343098,0.089
6A0Z,model_5_multimer_20220423_843835,0.13462964,0.072
6A0Z,ranked_0,0.13462964,0.072
6A0Z,model_4_multimer_20220423_192075,0.12201152,0.068
6A0Z,model_1_multimer_20220423_789739,0.11950008,0.092
6A0Z,model_1_multimer_20220423_891832,0.11813921,0.086
6A0Z,model_4_multimer_20220423_843835,0.10655031,0.08
6A0Z,ranked_3,0.10655031,0.08
6A0Z,model_4_multimer_20220423_891832,0.09336635,0.061
6A0Z,model_2_multimer_20220423_192075,0.08498164,0.064
6A0Z,model_2_multimer_20220423_789739,0.05524924,0.078
6A0Z,model_2_multimer_20220423_588683,0.04254832,0.069
6A0Z,model_2_multimer_20220423_843835,0.0383936,0.233
6A0Z,ranked_4,0.0383936,0.233
6A0Z,model_2_multimer_20220423_891832,0.03005781,0.228
