MODEL,PRED_DOCKQ
structure_temp_dimer_4,0.72529685
ori_template_pipeline_3,0.71508503
default_3,0.71479601
ori_template_pipeline_1,0.71456504
species_interact_uniref_sto_4,0.71364897
species_interact_uniprot_sto_2,0.71314651
species_interact_uniref_sto_3,0.71108967
species_interact_uniref_sto_2,0.71094561
species_interact_uniprot_sto_4,0.71089929
species_interact_uniprot_sto_1,0.71080381
uniclust_oxmatch_a3m_3,0.70978308
ori_template_pipeline_2,0.70921308
species_interact_uniref_sto_0,0.70816642
ori_template_pipeline_4,0.70737106
pdb_interact_uniprot_sto_4,0.70653385
default_2,0.70622247
species_interact_uniprot_sto_3,0.70613408
uniclust_oxmatch_a3m_2,0.70565557
sequence_based_template_2,0.70424753
custom_template_file_0,0.70358819
custom_template_file_4,0.70313835
custom_template_file_2,0.70179999
species_interact_uniprot_sto_0,0.7011863
ori_template_pipeline_0,0.70007175
ori_temp_pipeline_with_alphafold_models_3,0.69939333
sequence_based_template_with_alphafold_3,0.69937688
structure_temp_dimer_a_3,0.6993627
custom_template_with_alphafold_models_3,0.69930625
species_interact_uniref_sto_1,0.69925624
ori_temp_pipeline_with_alphafold_models_2,0.69889855
sequence_based_template_with_alphafold_2,0.69840926
sequence_based_template_3,0.69836557
default_4,0.69824618
pdb_interact_uniprot_sto_1,0.69765168
structure_temp_dimer_2,0.69748586
sequence_based_template_1,0.69745862
uniclust_oxmatch_a3m_1,0.69733983
custom_template_with_alphafold_models_2,0.69714504
structure_temp_dimer_a_2,0.69713706
no_templates_0,0.69666713
structure_temp_dimer_1,0.69619161
sequence_based_template_with_alphafold_4,0.69511497
structure_temp_dimer_a_4,0.69506496
custom_template_with_alphafold_models_4,0.69428486
custom_template_file_3,0.69422078
structure_temp_dimer_3,0.69418657
sequence_based_template_4,0.69379753
custom_template_file_1,0.69375134
pdb_interact_uniprot_sto_2,0.69365019
uniclust_oxmatch_a3m_4,0.69351274
ori_temp_pipeline_with_alphafold_models_4,0.69287962
pdb_interact_uniprot_sto_0,0.69280273
default_1,0.69114673
default_0,0.68964088
structure_temp_dimer_0,0.68945634
sequence_based_template_0,0.6893931
ori_temp_pipeline_with_alphafold_models_0,0.68811017
pdb_interact_uniprot_sto_3,0.68735474
no_templates_2,0.68588501
custom_template_with_alphafold_models_1,0.6854139
custom_template_with_alphafold_models_0,0.68535846
ori_temp_pipeline_with_alphafold_models_1,0.68503147
sequence_based_template_with_alphafold_1,0.68494612
uniclust_oxmatch_a3m_0,0.68451101
structure_temp_dimer_a_1,0.6842159
structure_temp_dimer_a_0,0.683061
no_templates_1,0.68305993
sequence_based_template_with_alphafold_0,0.68154162
no_templates_3,0.67610157
no_templates_4,0.67576307
