TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7LXT,uniclust_oxmatch_a3m_0,0.79332483,0.09
7LXT,pdb_interact_uniref_a3m_2,0.78841084,0.09
7LXT,species_interact_uniref_a3m_2,0.76968783,0.091
7LXT,string_interact_uniref_a3m_0,0.76861584,0.09
7LXT,uniclust_oxmatch_a3m_3,0.75525635,0.021
7LXT,uniclust_oxmatch_a3m_4,0.75311619,0.021
7LXT,no_templates_0,0.73701805,0.092
7LXT,string_interact_uniref_sto_0,0.72894204,0.553
7LXT,string_interact_uniprot_sto_1,0.72494721,0.557
7LXT,string_interact_uniref_sto_1,0.71979946,0.557
7LXT,species_interact_uniprot_sto_1,0.71381009,0.555
7LXT,string_interact_uniprot_sto_2,0.71188575,0.556
7LXT,uniprot_distance_uniref_a3m_4,0.71181965,0.017
7LXT,uniprot_distance_uniref_a3m_3,0.70918006,0.09
7LXT,species_interact_uniprot_sto_0,0.70841974,0.55
7LXT,species_interact_uniprot_sto_2,0.70697522,0.558
7LXT,uniprot_distance_uniref_a3m_1,0.70360506,0.098
7LXT,pdb_interact_uniref_a3m_1,0.70334035,0.098
7LXT,string_interact_uniref_a3m_4,0.7030856,0.021
7LXT,uniprot_distance_uniref_a3m_2,0.6999101,0.091
7LXT,string_interact_uniprot_sto_3,0.6982553,0.559
7LXT,string_interact_uniref_a3m_3,0.69568974,0.017
7LXT,uniprot_distance_uniref_sto_0,0.69380957,0.564
7LXT,string_interact_uniprot_sto_0,0.68843192,0.555
7LXT,species_interact_uniref_a3m_0,0.68061012,0.091
7LXT,string_interact_uniref_sto_3,0.67132896,0.561
7LXT,string_interact_uniref_sto_2,0.67023027,0.548
7LXT,no_templates_1,0.66767532,0.092
7LXT,custom_template_file_2,0.66068482,0.566
7LXT,pdb_interact_uniprot_sto_0,0.6551047,0.095
7LXT,structure_temp_dimer_2,0.65349638,0.565
7LXT,pdb_interact_uniref_a3m_4,0.63720137,0.017
7LXT,uniprot_distance_uniprot_sto_1,0.63503367,0.095
7LXT,custom_template_file_3,0.63106757,0.606
7LXT,default_4,0.6230377,0.596
7LXT,string_interact_uniprot_sto_4,0.60570151,0.544
7LXT,pdb_interact_uniref_a3m_0,0.60221487,0.09
7LXT,string_interact_uniref_a3m_2,0.59959167,0.606
7LXT,no_templates_2,0.58081037,0.134
7LXT,structure_temp_dimer_3,0.5686813,0.607
7LXT,custom_template_file_1,0.56625599,0.584
7LXT,uniclust_oxmatch_a3m_2,0.56545585,0.582
7LXT,sequence_based_template_4,0.5614894,0.603
7LXT,species_interact_uniref_a3m_1,0.55495554,0.091
7LXT,structure_temp_dimer_1,0.55315924,0.584
7LXT,ori_template_pipeline_2,0.55257022,0.56
7LXT,sequence_based_template_2,0.5511449,0.567
7LXT,string_interact_uniref_a3m_1,0.54986894,0.094
7LXT,custom_template_file_0,0.54683679,0.581
7LXT,no_templates_3,0.54286957,0.091
7LXT,uniprot_distance_uniref_sto_1,0.54161721,0.599
7LXT,structure_temp_dimer_0,0.53706658,0.581
7LXT,ori_template_pipeline_3,0.53204107,0.605
7LXT,default_3,0.52572101,0.592
7LXT,pdb_interact_uniref_sto_0,0.52368587,0.568
7LXT,ori_template_pipeline_1,0.52363515,0.593
7LXT,ori_temp_pipeline_with_alphafold_models_0,0.52284294,0.594
7LXT,sequence_based_template_with_alphafold_0,0.52200937,0.594
7LXT,custom_template_with_alphafold_models_0,0.52200937,0.594
7LXT,default_0,0.51972121,0.575
7LXT,species_interact_uniprot_sto_3,0.51927936,0.581
7LXT,ori_temp_pipeline_with_alphafold_models_1,0.51753271,0.592
7LXT,structure_temp_dimer_a_1,0.51745266,0.592
7LXT,sequence_based_template_with_alphafold_1,0.5166744,0.592
7LXT,custom_template_with_alphafold_models_1,0.5166744,0.592
7LXT,structure_temp_dimer_a_0,0.5134477,0.594
7LXT,species_interact_uniref_sto_1,0.50791383,0.594
7LXT,uniprot_distance_uniref_a3m_0,0.50606203,0.091
7LXT,string_interact_uniref_sto_4,0.50229889,0.57
7LXT,species_interact_uniprot_sto_4,0.50198603,0.597
7LXT,structure_temp_dimer_a_4,0.50176734,0.591
7LXT,sequence_based_template_with_alphafold_4,0.50132912,0.591
7LXT,custom_template_with_alphafold_models_4,0.50132912,0.591
7LXT,ori_temp_pipeline_with_alphafold_models_4,0.50130981,0.591
7LXT,sequence_based_template_3,0.49447253,0.597
7LXT,structure_temp_dimer_a_2,0.49171019,0.594
7LXT,pdb_interact_uniref_sto_1,0.49146232,0.593
7LXT,species_interact_uniref_sto_4,0.48700249,0.573
7LXT,custom_template_with_alphafold_models_2,0.48506671,0.594
7LXT,sequence_based_template_with_alphafold_2,0.48506671,0.594
7LXT,species_interact_uniref_sto_3,0.48401168,0.567
7LXT,ori_temp_pipeline_with_alphafold_models_2,0.4833886,0.594
7LXT,default_1,0.48310861,0.58
7LXT,default_2,0.47193623,0.562
7LXT,no_templates_4,0.46903697,0.091
7LXT,species_interact_uniref_a3m_3,0.46242797,0.606
7LXT,species_interact_uniref_sto_0,0.45947844,0.573
7LXT,sequence_based_template_0,0.45710605,0.577
7LXT,sequence_based_template_with_alphafold_3,0.45583314,0.584
7LXT,custom_template_with_alphafold_models_3,0.45583314,0.584
7LXT,uniprot_distance_uniprot_sto_0,0.45517889,0.095
7LXT,sequence_based_template_1,0.45302805,0.574
7LXT,structure_temp_dimer_a_3,0.45233145,0.584
7LXT,ori_template_pipeline_0,0.45025745,0.569
7LXT,ori_temp_pipeline_with_alphafold_models_3,0.4396238,0.584
7LXT,species_interact_uniref_sto_2,0.43431512,0.565
7LXT,uniclust_oxmatch_a3m_1,0.28684628,0.013
7LXT,pdb_interact_uniref_a3m_3,0.28055435,0.021
7LXT,structure_temp_dimer_4,0.24965614,0.599
7LXT,species_interact_uniref_a3m_4,0.21550514,0.585
7LXT,custom_template_file_4,0.19050211,0.595
7LXT,pdb_interact_uniprot_sto_1,0.15837856,0.127
7LXT,pdb_interact_uniref_sto_4,0.13722567,0.106
7LXT,pdb_interact_uniref_sto_2,0.12192248,0.155
7LXT,uniprot_distance_uniprot_sto_2,0.10490614,0.101
7LXT,pdb_interact_uniref_sto_3,0.08913944,0.096
7LXT,uniprot_distance_uniprot_sto_4,0.08631353,0.14
7LXT,uniprot_distance_uniref_sto_3,0.06244735,0.109
7LXT,uniprot_distance_uniref_sto_4,0.05554666,0.104
7LXT,ori_template_pipeline_4,0.044488,0.542
7LXT,uniprot_distance_uniref_sto_2,0.03566127,0.312
7LXT,pdb_interact_uniprot_sto_4,0.03480281,0.218
7LXT,pdb_interact_uniprot_sto_2,0.02879466,0.1
7LXT,uniprot_distance_uniprot_sto_3,0.02780478,0.094
7LXT,pdb_interact_uniprot_sto_3,0.01548082,0.093
