TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7YQZ,fold_7yqz_1_model_3,0.14337534,0.413
7YQZ,fold_7yqz_3_model_3,0.13447295,0.464
7YQZ,fold_7yqz_4_model_0,0.1290132,0.437
7YQZ,fold_7yqz_1_model_1,0.12728374,0.463
7YQZ,fold_7yqz_4_model_4,0.11821734,0.457
7YQZ,fold_7yqz_3_model_1,0.111607,0.451
7YQZ,fold_7yqz_4_model_1,0.09989028,0.426
7YQZ,fold_7yqz_4_model_3,0.09584007,0.453
7YQZ,fold_7yqz_4_model_2,0.09457129,0.46
7YQZ,fold_7yqz_2_model_0,0.09254438,0.452
7YQZ,fold_7yqz_3_model_2,0.07594696,0.426
7YQZ,fold_7yqz_5_model_2,0.07557743,0.446
7YQZ,fold_7yqz_1_model_4,0.07468261,0.393
7YQZ,fold_7yqz_5_model_3,0.07279897,0.472
7YQZ,fold_7yqz_3_model_0,0.07252294,0.431
7YQZ,fold_7yqz_2_model_2,0.06701886,0.413
7YQZ,fold_7yqz_5_model_1,0.0666709,0.466
7YQZ,fold_7yqz_2_model_3,0.0599632,0.449
7YQZ,fold_7yqz_1_model_0,0.05571048,0.42
7YQZ,fold_7yqz_5_model_4,0.05514981,0.447
7YQZ,fold_7yqz_2_model_1,0.05435133,0.458
7YQZ,fold_7yqz_2_model_4,0.05417879,0.458
7YQZ,fold_7yqz_5_model_0,0.0459399,0.411
7YQZ,fold_7yqz_1_model_2,0.04374122,0.449
7YQZ,fold_7yqz_3_model_4,0.03444877,0.4
