MODEL,PRED_DOCKQ
fold_7z2m_3_model_4,0.5783782
fold_7z2m_3_model_3,0.49805489
fold_7z2m_5_model_4,0.43937007
fold_7z2m_4_model_4,0.38874403
fold_7z2m_2_model_1,0.38595667
fold_7z2m_3_model_2,0.35127893
fold_7z2m_1_model_3,0.33759502
fold_7z2m_4_model_0,0.33172953
fold_7z2m_5_model_1,0.30155396
fold_7z2m_3_model_0,0.29139969
fold_7z2m_1_model_2,0.29117143
fold_7z2m_2_model_0,0.27680832
fold_7z2m_2_model_3,0.27153689
fold_7z2m_4_model_3,0.26029605
fold_7z2m_2_model_2,0.25882554
fold_7z2m_1_model_1,0.25809923
fold_7z2m_5_model_0,0.25736979
fold_7z2m_5_model_2,0.25173521
fold_7z2m_4_model_1,0.24234578
fold_7z2m_3_model_1,0.23712556
fold_7z2m_2_model_4,0.22848327
fold_7z2m_4_model_2,0.2264901
fold_7z2m_1_model_4,0.22619499
fold_7z2m_1_model_0,0.20735735
fold_7z2m_5_model_3,0.19852872
