MODEL,PRED_DOCKQ
model_5_multimer_20220423_154353_tidy,0.39031383
ranked_3_tidy,0.3744092
model_4_multimer_20220423_928474_tidy,0.3744092
model_4_multimer_20220423_746165_tidy,0.36824304
model_3_multimer_20220423_746165_tidy,0.36221358
model_4_multimer_20220423_823448_tidy,0.36210155
model_3_multimer_20220423_154353_tidy,0.35531646
model_4_multimer_20220423_849432_tidy,0.3424989
model_3_multimer_20220423_823448_tidy,0.33664647
model_2_multimer_20220423_746165_tidy,0.33578306
model_1_multimer_20220423_849432_tidy,0.33223265
ranked_4_tidy,0.33069474
model_3_multimer_20220423_928474_tidy,0.33069474
model_5_multimer_20220423_746165_tidy,0.32750273
ranked_2_tidy,0.31362462
model_2_multimer_20220423_928474_tidy,0.31362462
model_4_multimer_20220423_154353_tidy,0.31300095
model_2_multimer_20220423_849432_tidy,0.31127894
ranked_1_tidy,0.30377626
model_1_multimer_20220423_928474_tidy,0.30377626
model_5_multimer_20220423_849432_tidy,0.30232668
model_5_multimer_20220423_823448_tidy,0.30209646
model_1_multimer_20220423_746165_tidy,0.29645708
model_1_multimer_20220423_823448_tidy,0.29326409
model_2_multimer_20220423_823448_tidy,0.29093137
model_2_multimer_20220423_154353_tidy,0.2660009
model_1_multimer_20220423_154353_tidy,0.26162034
model_5_multimer_20220423_928474_tidy,0.23204811
ranked_0_tidy,0.23204811
model_3_multimer_20220423_849432_tidy,0.22904402
