Acceptable-or-better (a): count DockQ ≥ 0.23
Medium-or-better (b): count DockQ ≥ 0.49
High (c): count DockQ ≥ 0.80

hit rate = a/b/c 

5HGG hit rate =  8/0/0

5HGG,ranked_4,0.62727976,0.224
5HGG,model_4_multimer_20220423_919207,0.62727976,0.224
5HGG,model_3_multimer_20220423_842191,0.49658749,0.259
5HGG,model_2_multimer_20220423_842191,0.46170494,0.273
5HGG,model_3_multimer_20220423_932539,0.43126783,0.294
5HGG,model_2_multimer_20220423_879088,0.38024661,0.338
5HGG,model_2_multimer_20220423_908001,0.37765917,0.3
5HGG,model_3_multimer_20220423_908001,0.31157178,0.301
5HGG,model_2_multimer_20220423_919207,0.30979177,0.305
5HGG,ranked_3,0.30979177,0.305
