TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7AOH,structure_temp_dimer_4,0.68900603,0.926
7AOH,structure_temp_dimer_3,0.68864083,0.924
7AOH,custom_template_file_4,0.68041748,0.931
7AOH,species_interact_uniprot_sto_2,0.67963654,0.902
7AOH,custom_template_file_1,0.67794222,0.928
7AOH,uniprot_distance_uniprot_sto_0,0.67780548,0.89
7AOH,custom_template_file_3,0.67764103,0.923
7AOH,structure_temp_dimer_0,0.67752743,0.928
7AOH,pdb_interact_uniprot_sto_3,0.67695779,0.875
7AOH,custom_template_file_2,0.67507893,0.925
7AOH,pdb_interact_uniprot_sto_4,0.6750229,0.868
7AOH,custom_template_file_0,0.67334527,0.933
7AOH,sequence_based_template_2,0.66370159,0.87
7AOH,default_1,0.6536991,0.889
7AOH,species_interact_uniprot_sto_4,0.65183538,0.89
7AOH,species_interact_uniprot_sto_0,0.63793635,0.897
7AOH,uniprot_distance_uniprot_sto_2,0.61367661,0.889
7AOH,species_interact_uniref_sto_2,0.61273879,0.896
7AOH,uniprot_distance_uniprot_sto_4,0.60386789,0.878
7AOH,uniprot_distance_uniref_sto_0,0.59619218,0.897
7AOH,ori_template_pipeline_2,0.59169149,0.904
7AOH,ori_temp_pipeline_with_alphafold_models_0,0.59143418,0.747
7AOH,ori_template_pipeline_1,0.59087592,0.91
7AOH,sequence_based_template_with_alphafold_0,0.59015822,0.747
7AOH,custom_template_with_alphafold_models_0,0.58888525,0.747
7AOH,pdb_interact_uniref_sto_3,0.5879662,0.89
7AOH,structure_temp_dimer_a_0,0.58741921,0.747
7AOH,species_interact_uniref_sto_0,0.58589143,0.903
7AOH,uniclust_oxmatch_a3m_0,0.58573711,0.921
7AOH,default_2,0.58561027,0.899
7AOH,uniprot_distance_uniref_sto_1,0.58424979,0.889
7AOH,pdb_interact_uniprot_sto_2,0.58399695,0.873
7AOH,uniprot_distance_uniref_sto_2,0.58291596,0.904
7AOH,pdb_interact_uniref_sto_0,0.57645679,0.901
7AOH,default_3,0.57429838,0.915
7AOH,sequence_based_template_1,0.5742535,0.9
7AOH,no_templates_3,0.56078905,0.582
7AOH,sequence_based_template_3,0.56007725,0.901
7AOH,default_4,0.55706066,0.901
7AOH,species_interact_uniref_a3m_0,0.55348152,0.907
7AOH,uniprot_distance_uniprot_sto_3,0.54705966,0.903
7AOH,species_interact_uniprot_sto_1,0.54261047,0.886
7AOH,species_interact_uniref_sto_4,0.53964382,0.889
7AOH,uniclust_oxmatch_a3m_2,0.53375262,0.91
7AOH,ori_template_pipeline_4,0.52713054,0.887
7AOH,uniclust_oxmatch_a3m_3,0.52057379,0.897
7AOH,pdb_interact_uniprot_sto_0,0.52032191,0.887
7AOH,species_interact_uniref_a3m_2,0.51737845,0.875
7AOH,default_0,0.51642853,0.915
7AOH,species_interact_uniref_sto_3,0.50469393,0.901
7AOH,uniprot_distance_uniprot_sto_1,0.49718538,0.891
7AOH,ori_template_pipeline_0,0.48570582,0.895
7AOH,species_interact_uniref_a3m_1,0.47529849,0.897
7AOH,sequence_based_template_4,0.47280219,0.878
7AOH,pdb_interact_uniprot_sto_1,0.47221681,0.89
7AOH,species_interact_uniref_sto_1,0.46541572,0.917
7AOH,pdb_interact_uniref_sto_2,0.45882684,0.907
7AOH,sequence_based_template_0,0.43694466,0.905
7AOH,species_interact_uniprot_sto_3,0.43487093,0.905
7AOH,pdb_interact_uniref_sto_1,0.42998418,0.886
7AOH,pdb_interact_uniref_sto_4,0.41655079,0.903
7AOH,structure_temp_dimer_1,0.41344288,0.936
7AOH,uniprot_distance_uniref_sto_3,0.40774342,0.923
7AOH,uniprot_distance_uniref_sto_4,0.40750369,0.907
7AOH,ori_template_pipeline_3,0.39947221,0.905
7AOH,uniclust_oxmatch_a3m_1,0.38151219,0.919
7AOH,sequence_based_template_with_alphafold_3,0.34709933,0.699
7AOH,ori_temp_pipeline_with_alphafold_models_3,0.34668303,0.699
7AOH,custom_template_with_alphafold_models_3,0.34589332,0.699
7AOH,structure_temp_dimer_a_3,0.34541589,0.699
7AOH,no_templates_2,0.31625202,0.649
7AOH,structure_temp_dimer_2,0.30976963,0.93
7AOH,structure_temp_dimer_a_4,0.25677514,0.676
7AOH,custom_template_with_alphafold_models_4,0.25569046,0.676
7AOH,species_interact_uniref_a3m_3,0.25180709,0.835
7AOH,ori_temp_pipeline_with_alphafold_models_4,0.24668448,0.676
7AOH,sequence_based_template_with_alphafold_4,0.24665777,0.676
7AOH,ori_temp_pipeline_with_alphafold_models_2,0.21607044,0.716
7AOH,sequence_based_template_with_alphafold_2,0.21592392,0.716
7AOH,structure_temp_dimer_a_2,0.21496168,0.716
7AOH,custom_template_with_alphafold_models_2,0.21434253,0.716
7AOH,structure_temp_dimer_a_1,0.21265577,0.701
7AOH,custom_template_with_alphafold_models_1,0.21082091,0.701
7AOH,ori_temp_pipeline_with_alphafold_models_1,0.21043643,0.701
7AOH,sequence_based_template_with_alphafold_1,0.21004328,0.701
7AOH,uniclust_oxmatch_a3m_4,0.18811661,0.857
7AOH,no_templates_4,0.06511016,0.472
7AOH,no_templates_0,0.05452896,0.59
7AOH,no_templates_1,0.02259807,0.615
7AOH,species_interact_uniref_a3m_4,0.01949313,0.008
