MODEL,PRED_DOCKQ
default_2,0.57302946
uniprot_distance_uniref_sto_1,0.48252454
string_interact_uniref_sto_1,0.46022937
species_interact_uniref_sto_2,0.41600204
pdb_interact_uniprot_sto_1,0.37987629
no_templates_1,0.31991312
species_interact_uniprot_sto_2,0.28051075
species_interact_uniref_sto_1,0.27098316
default_1,0.24201328
string_interact_uniprot_sto_3,0.21030414
pdb_interact_uniref_sto_1,0.20330158
uniprot_distance_uniref_sto_3,0.20126717
sequence_based_template_0,0.19792596
uniprot_distance_uniprot_sto_1,0.19033948
string_interact_uniref_sto_2,0.18842287
structure_temp_dimer_2,0.18755783
custom_template_file_2,0.17073622
string_interact_uniref_sto_0,0.16311824
ori_template_pipeline_2,0.15399525
string_interact_uniref_sto_3,0.15190741
string_interact_uniprot_sto_1,0.14816847
uniprot_distance_uniref_sto_0,0.14784251
default_3,0.14722562
sequence_based_template_1,0.14296134
pdb_interact_uniprot_sto_0,0.14006177
pdb_interact_uniref_sto_0,0.12893984
default_0,0.12593172
structure_temp_dimer_a_2,0.12387674
ori_temp_pipeline_with_alphafold_models_2,0.12380131
sequence_based_template_with_alphafold_2,0.12066956
ori_template_pipeline_1,0.11791734
string_interact_uniprot_sto_0,0.11421981
no_templates_3,0.11421381
custom_template_with_alphafold_models_2,0.11299074
custom_template_file_0,0.10290391
species_interact_uniref_sto_0,0.10273467
custom_template_file_1,0.09877038
structure_temp_dimer_1,0.09830178
ori_template_pipeline_0,0.09662853
structure_temp_dimer_0,0.09574698
pdb_interact_uniref_a3m_3,0.09284353
uniprot_distance_uniref_sto_4,0.09014726
uniprot_distance_uniprot_sto_0,0.08681748
custom_template_file_3,0.08607338
ori_temp_pipeline_with_alphafold_models_3,0.08584066
sequence_based_template_2,0.08580837
sequence_based_template_with_alphafold_3,0.08527748
custom_template_with_alphafold_models_3,0.08494408
structure_temp_dimer_3,0.0845497
string_interact_uniref_a3m_3,0.08344309
structure_temp_dimer_a_3,0.08325282
uniprot_distance_uniref_sto_2,0.07796646
string_interact_uniprot_sto_2,0.07741057
species_interact_uniprot_sto_0,0.07586712
ori_template_pipeline_4,0.07464702
sequence_based_template_4,0.07408256
species_interact_uniprot_sto_1,0.07172401
sequence_based_template_3,0.06904135
default_4,0.06890157
uniprot_distance_uniref_a3m_4,0.06784406
pdb_interact_uniref_sto_2,0.06700283
string_interact_uniref_a3m_1,0.06658023
pdb_interact_uniref_sto_4,0.06569004
uniprot_distance_uniprot_sto_3,0.0654531
pdb_interact_uniref_sto_3,0.05825467
string_interact_uniprot_sto_4,0.05700082
pdb_interact_uniref_a3m_1,0.0567563
sequence_based_template_with_alphafold_1,0.05553804
string_interact_uniref_a3m_0,0.05521032
structure_temp_dimer_a_1,0.05405334
custom_template_with_alphafold_models_1,0.05396447
ori_temp_pipeline_with_alphafold_models_1,0.05394028
pdb_interact_uniref_a3m_4,0.05300663
sequence_based_template_with_alphafold_0,0.05097897
structure_temp_dimer_a_0,0.05040023
pdb_interact_uniprot_sto_2,0.05000714
ori_temp_pipeline_with_alphafold_models_0,0.04859624
custom_template_with_alphafold_models_0,0.04842846
string_interact_uniref_sto_4,0.04827665
species_interact_uniref_a3m_4,0.04818749
species_interact_uniref_sto_4,0.04802428
no_templates_0,0.04776775
string_interact_uniref_a3m_2,0.04387051
string_interact_uniref_a3m_4,0.04333191
uniprot_distance_uniref_a3m_0,0.04305979
pdb_interact_uniprot_sto_3,0.04295897
species_interact_uniref_a3m_3,0.0429067
uniclust_oxmatch_a3m_3,0.04290019
custom_template_file_4,0.04282523
species_interact_uniref_a3m_2,0.04252714
uniclust_oxmatch_a3m_2,0.04220439
structure_temp_dimer_4,0.04213101
pdb_interact_uniref_a3m_0,0.04196156
structure_temp_dimer_a_4,0.04163891
species_interact_uniref_a3m_0,0.04096876
uniclust_oxmatch_a3m_4,0.04094491
species_interact_uniprot_sto_3,0.04003244
uniprot_distance_uniref_a3m_1,0.03978478
species_interact_uniref_a3m_1,0.03932405
custom_template_with_alphafold_models_4,0.0388666
uniprot_distance_uniref_a3m_2,0.03846471
sequence_based_template_with_alphafold_4,0.03781197
uniprot_distance_uniprot_sto_4,0.03766721
ori_temp_pipeline_with_alphafold_models_4,0.03732833
uniclust_oxmatch_a3m_1,0.03622914
uniprot_distance_uniref_a3m_3,0.03559927
uniclust_oxmatch_a3m_0,0.03518995
uniprot_distance_uniprot_sto_2,0.03372253
pdb_interact_uniref_a3m_2,0.03324854
no_templates_2,0.03297908
no_templates_4,0.03280152
ori_template_pipeline_3,0.03239585
species_interact_uniprot_sto_4,0.02916091
pdb_interact_uniprot_sto_4,0.02793387
species_interact_uniref_sto_3,0.02760238
