MODEL,PRED_DOCKQ
fold_7tyv_3_model_1,0.46997321
fold_7tyv_1_model_2,0.38230661
fold_7tyv_4_model_3,0.37646672
fold_7tyv_1_model_3,0.35416615
fold_7tyv_1_model_4,0.30196449
fold_7tyv_3_model_4,0.26841557
fold_7tyv_2_model_4,0.25364435
fold_7tyv_1_model_0,0.24744175
fold_7tyv_5_model_2,0.23841703
fold_7tyv_5_model_0,0.22675446
fold_7tyv_2_model_1,0.22409238
fold_7tyv_4_model_0,0.22176769
fold_7tyv_3_model_3,0.2073853
fold_7tyv_5_model_4,0.19804156
fold_7tyv_2_model_0,0.1880361
fold_7tyv_4_model_1,0.18700133
fold_7tyv_2_model_2,0.18408346
fold_7tyv_3_model_0,0.1649631
fold_7tyv_1_model_1,0.14327304
fold_7tyv_3_model_2,0.14145938
fold_7tyv_5_model_1,0.13993414
fold_7tyv_5_model_3,0.13229041
fold_7tyv_4_model_2,0.11620267
fold_7tyv_4_model_4,0.1110375
fold_7tyv_2_model_3,0.07645435
