TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
5CBA,model_5_multimer_20220423_121312,0.64344281,0.786
5CBA,ranked_1,0.64344281,0.786
5CBA,model_4_multimer_20220423_121312,0.63500166,0.746
5CBA,ranked_4,0.63500166,0.746
5CBA,model_5_multimer_20220423_296697,0.631589,0.809
5CBA,model_1_multimer_20220423_862209,0.62912172,0.798
5CBA,ranked_2,0.62537533,0.798
5CBA,model_2_multimer_20220423_121312,0.62537533,0.798
5CBA,model_1_multimer_20220423_294929,0.59791017,0.791
5CBA,model_1_multimer_20220423_296697,0.58714366,0.708
5CBA,model_5_multimer_20220423_294929,0.58348888,0.817
5CBA,model_5_multimer_20220423_663901,0.58337015,0.78
5CBA,model_2_multimer_20220423_296697,0.5748964,0.812
5CBA,model_4_multimer_20220423_663901,0.57441741,0.759
5CBA,model_3_multimer_20220423_296697,0.57026762,0.752
5CBA,model_2_multimer_20220423_294929,0.56646651,0.802
5CBA,model_2_multimer_20220423_663901,0.55627215,0.787
5CBA,model_5_multimer_20220423_862209,0.55626732,0.81
5CBA,model_3_multimer_20220423_862209,0.55218226,0.75
5CBA,model_1_multimer_20220423_663901,0.53927279,0.806
5CBA,model_4_multimer_20220423_294929,0.53373438,0.765
5CBA,model_4_multimer_20220423_862209,0.51706678,0.779
5CBA,model_2_multimer_20220423_862209,0.50911397,0.789
5CBA,model_3_multimer_20220423_663901,0.50854039,0.761
5CBA,model_3_multimer_20220423_121312,0.50671154,0.761
5CBA,ranked_0,0.50671154,0.761
5CBA,model_3_multimer_20220423_294929,0.50026292,0.786
5CBA,model_4_multimer_20220423_296697,0.49621877,0.763
5CBA,ranked_3,0.49452698,0.77
5CBA,model_1_multimer_20220423_121312,0.49452698,0.77
