TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7Z2M,fold_7z2m_3_model_4,0.72626984,0.439
7Z2M,fold_7z2m_3_model_3,0.61864281,0.553
7Z2M,fold_7z2m_2_model_1,0.61670691,0.422
7Z2M,fold_7z2m_5_model_4,0.61610126,0.559
7Z2M,fold_7z2m_4_model_4,0.57734144,0.416
7Z2M,fold_7z2m_1_model_3,0.55815327,0.435
7Z2M,fold_7z2m_3_model_2,0.55548346,0.421
7Z2M,fold_7z2m_4_model_0,0.54530108,0.423
7Z2M,fold_7z2m_5_model_1,0.51706445,0.419
7Z2M,fold_7z2m_3_model_0,0.51677477,0.433
7Z2M,fold_7z2m_2_model_0,0.47643456,0.408
7Z2M,fold_7z2m_2_model_2,0.46675435,0.426
7Z2M,fold_7z2m_5_model_0,0.46471199,0.418
7Z2M,fold_7z2m_2_model_3,0.44828814,0.416
7Z2M,fold_7z2m_4_model_3,0.4479751,0.427
7Z2M,fold_7z2m_1_model_2,0.44626322,0.559
7Z2M,fold_7z2m_2_model_4,0.42786437,0.427
7Z2M,fold_7z2m_4_model_1,0.41969079,0.433
7Z2M,fold_7z2m_1_model_1,0.40751666,0.43
7Z2M,fold_7z2m_1_model_4,0.39076799,0.442
7Z2M,fold_7z2m_5_model_2,0.3850458,0.42
7Z2M,fold_7z2m_3_model_1,0.38424274,0.425
7Z2M,fold_7z2m_4_model_2,0.35520512,0.557
7Z2M,fold_7z2m_5_model_3,0.3172771,0.403
7Z2M,fold_7z2m_1_model_0,0.30562437,0.421
