MODEL,PRED_DOCKQ
fold_7ued_5_model_4,0.32806718
fold_7ued_5_model_3,0.32806
fold_7ued_1_model_3,0.32804573
fold_7ued_5_model_0,0.32804495
fold_7ued_3_model_1,0.3279857
fold_7ued_2_model_0,0.32792011
fold_7ued_1_model_1,0.3278684
fold_7ued_2_model_1,0.32783663
fold_7ued_4_model_4,0.32783043
fold_7ued_5_model_2,0.32780153
fold_7ued_1_model_4,0.32777792
fold_7ued_1_model_0,0.32776543
fold_7ued_3_model_4,0.32774469
fold_7ued_3_model_2,0.32774249
fold_7ued_5_model_1,0.3277216
fold_7ued_3_model_0,0.32771772
fold_7ued_2_model_2,0.32771337
fold_7ued_2_model_3,0.3276841
fold_7ued_3_model_3,0.32755125
fold_7ued_1_model_2,0.32745638
fold_7ued_4_model_0,0.3273879
fold_7ued_4_model_1,0.32737929
fold_7ued_4_model_2,0.32726124
fold_7ued_4_model_3,0.32710809
fold_7ued_2_model_4,0.32506415
