MODEL,PRED_DOCKQ
fold_7yqx_4_model_0,0.32960969
fold_7yqx_4_model_1,0.32954583
fold_7yqx_1_model_0,0.32915986
fold_7yqx_3_model_4,0.32904983
fold_7yqx_3_model_1,0.32894871
fold_7yqx_4_model_2,0.32891026
fold_7yqx_5_model_0,0.32890621
fold_7yqx_1_model_1,0.32881922
fold_7yqx_5_model_4,0.32853952
fold_7yqx_2_model_3,0.32848838
fold_7yqx_2_model_4,0.32842296
fold_7yqx_3_model_2,0.32832915
fold_7yqx_1_model_3,0.32828814
fold_7yqx_5_model_3,0.32827339
fold_7yqx_3_model_3,0.32826883
fold_7yqx_4_model_4,0.32823798
fold_7yqx_2_model_1,0.32816222
fold_7yqx_2_model_2,0.32816139
fold_7yqx_5_model_1,0.32797414
fold_7yqx_5_model_2,0.32795197
fold_7yqx_1_model_4,0.32788849
fold_7yqx_3_model_0,0.32784474
fold_7yqx_2_model_0,0.32777351
fold_7yqx_1_model_2,0.32729968
fold_7yqx_4_model_3,0.32710803
