MODEL,PRED_DOCKQ
model_2_multimer_20220423_965401_tidy,0.32841098
model_5_multimer_20220423_965401_tidy,0.32792428
model_2_multimer_20220423_377030_tidy,0.32785711
model_5_multimer_20220423_377030_tidy,0.32784972
model_1_multimer_20220423_965401_tidy,0.32775736
model_5_multimer_20220423_406500_tidy,0.32770988
model_1_multimer_20220423_406500_tidy,0.32770267
model_3_multimer_20220423_965401_tidy,0.32769343
ranked_1_tidy,0.32756773
model_5_multimer_20220423_693642_tidy,0.32756773
ranked_3_tidy,0.32753003
model_4_multimer_20220423_693642_tidy,0.32753003
model_3_multimer_20220423_406500_tidy,0.32752922
model_3_multimer_20220423_377030_tidy,0.32751065
model_3_multimer_20220423_103678_tidy,0.32749853
model_4_multimer_20220423_965401_tidy,0.32748836
model_5_multimer_20220423_103678_tidy,0.32746893
model_1_multimer_20220423_103678_tidy,0.32746637
ranked_4_tidy,0.32746544
model_3_multimer_20220423_693642_tidy,0.32746544
ranked_0_tidy,0.32742298
model_1_multimer_20220423_693642_tidy,0.32742298
model_2_multimer_20220423_103678_tidy,0.32735401
model_2_multimer_20220423_693642_tidy,0.32731062
ranked_2_tidy,0.32731062
model_4_multimer_20220423_406500_tidy,0.32719332
model_2_multimer_20220423_406500_tidy,0.32717717
model_4_multimer_20220423_377030_tidy,0.32708842
model_1_multimer_20220423_377030_tidy,0.32676429
model_4_multimer_20220423_103678_tidy,0.326298
