MODEL,PRED_DOCKQ
no_templates_3,0.33977827
no_templates_4,0.33975288
structure_temp_dimer_0,0.33967713
uniprot_distance_uniref_sto_4,0.33939278
no_templates_2,0.33935648
structure_temp_dimer_3,0.33932373
species_interact_uniref_sto_4,0.33929831
string_interact_uniref_a3m_3,0.33925793
pdb_interact_uniref_sto_4,0.33923158
custom_template_file_2,0.33921835
pdb_interact_uniprot_sto_4,0.3392022
uniprot_distance_uniref_sto_2,0.33919916
uniprot_distance_uniref_sto_3,0.33918998
string_interact_uniprot_sto_2,0.33918521
custom_template_file_1,0.33914188
custom_template_file_3,0.33913577
structure_temp_dimer_4,0.33910152
pdb_interact_uniref_sto_1,0.33909005
pdb_interact_uniref_a3m_4,0.33902609
uniprot_distance_uniref_sto_0,0.3390106
species_interact_uniref_sto_3,0.33900034
pdb_interact_uniref_sto_2,0.33899629
string_interact_uniref_sto_1,0.33898538
string_interact_uniprot_sto_3,0.33898172
pdb_interact_uniprot_sto_0,0.33897468
uniprot_distance_uniprot_sto_2,0.33895016
no_templates_1,0.33894199
sequence_based_template_4,0.3389284
structure_temp_dimer_2,0.33891818
string_interact_uniref_sto_3,0.33890659
pdb_interact_uniprot_sto_3,0.33887285
ori_template_pipeline_0,0.33885506
default_4,0.33885357
uniclust_oxmatch_a3m_0,0.33882084
uniprot_distance_uniprot_sto_1,0.33882025
string_interact_uniprot_sto_0,0.33880505
species_interact_uniprot_sto_2,0.33878717
species_interact_uniref_sto_0,0.33877334
pdb_interact_uniref_sto_3,0.33877188
species_interact_uniref_sto_2,0.3387692
no_templates_0,0.33875966
sequence_based_template_0,0.33875456
ori_template_pipeline_3,0.33874786
ori_template_pipeline_1,0.33872157
species_interact_uniprot_sto_3,0.33871832
uniprot_distance_uniprot_sto_0,0.33871758
uniprot_distance_uniref_sto_1,0.33871454
ori_template_pipeline_4,0.33871356
uniprot_distance_uniref_a3m_2,0.33871272
default_3,0.33869445
species_interact_uniref_a3m_4,0.33867937
species_interact_uniprot_sto_1,0.33867723
string_interact_uniref_sto_2,0.33867061
species_interact_uniref_sto_1,0.33866715
uniprot_distance_uniprot_sto_3,0.33866569
default_1,0.33865535
pdb_interact_uniref_sto_0,0.33865228
default_0,0.33864808
sequence_based_template_2,0.33864117
uniprot_distance_uniprot_sto_4,0.33862543
string_interact_uniprot_sto_4,0.33858344
uniclust_oxmatch_a3m_3,0.33857149
custom_template_file_4,0.33856389
string_interact_uniprot_sto_1,0.33854157
custom_template_file_0,0.33846372
structure_temp_dimer_1,0.33845273
uniprot_distance_uniref_a3m_3,0.33843443
uniprot_distance_uniref_a3m_1,0.33841625
string_interact_uniref_sto_0,0.3383933
ori_template_pipeline_2,0.3383615
pdb_interact_uniprot_sto_2,0.33835685
string_interact_uniref_sto_4,0.3383556
species_interact_uniprot_sto_4,0.33835155
structure_temp_dimer_a_1,0.33833236
uniclust_oxmatch_a3m_2,0.3383289
sequence_based_template_with_alphafold_1,0.33832613
custom_template_with_alphafold_models_1,0.33832255
sequence_based_template_1,0.33832049
ori_temp_pipeline_with_alphafold_models_1,0.33831728
pdb_interact_uniprot_sto_1,0.33830872
sequence_based_template_3,0.33828017
pdb_interact_uniref_a3m_2,0.33827758
species_interact_uniref_a3m_1,0.33827165
species_interact_uniref_a3m_3,0.33822769
uniprot_distance_uniref_a3m_4,0.3382262
species_interact_uniref_a3m_0,0.33822247
ori_temp_pipeline_with_alphafold_models_4,0.3382093
sequence_based_template_with_alphafold_4,0.338204
default_2,0.33820331
structure_temp_dimer_a_4,0.3382003
custom_template_with_alphafold_models_4,0.33820012
string_interact_uniref_a3m_0,0.33819506
uniclust_oxmatch_a3m_1,0.33818018
string_interact_uniref_a3m_2,0.33813447
pdb_interact_uniref_a3m_0,0.33806652
species_interact_uniprot_sto_0,0.33798012
ori_temp_pipeline_with_alphafold_models_0,0.33797067
sequence_based_template_with_alphafold_0,0.33796999
structure_temp_dimer_a_0,0.33796647
custom_template_with_alphafold_models_0,0.33796069
uniprot_distance_uniref_a3m_0,0.33795881
string_interact_uniref_a3m_1,0.33792314
structure_temp_dimer_a_2,0.33783424
string_interact_uniref_a3m_4,0.33781329
species_interact_uniref_a3m_2,0.3377986
ori_temp_pipeline_with_alphafold_models_2,0.33778188
custom_template_with_alphafold_models_2,0.33773097
sequence_based_template_with_alphafold_2,0.33772871
pdb_interact_uniref_a3m_1,0.33752891
sequence_based_template_with_alphafold_3,0.33738804
custom_template_with_alphafold_models_3,0.33738396
ori_temp_pipeline_with_alphafold_models_3,0.33738226
structure_temp_dimer_a_3,0.33737805
pdb_interact_uniref_a3m_3,0.33729953
uniclust_oxmatch_a3m_4,0.33692506
