TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7TEE,fold_7tee_5_model_0,0.33638859,0.422
7TEE,fold_7tee_2_model_0,0.336108,0.424
7TEE,fold_7tee_2_model_3,0.33606121,0.405
7TEE,fold_7tee_4_model_1,0.3360303,0.415
7TEE,fold_7tee_4_model_3,0.33580545,0.566
7TEE,fold_7tee_1_model_0,0.33567974,0.42
7TEE,fold_7tee_2_model_2,0.33566731,0.414
7TEE,fold_7tee_1_model_2,0.33566359,0.415
7TEE,fold_7tee_3_model_1,0.3355875,0.533
7TEE,fold_7tee_5_model_4,0.33552885,0.502
7TEE,fold_7tee_1_model_1,0.33551177,0.424
7TEE,fold_7tee_3_model_2,0.3354879,0.542
7TEE,fold_7tee_5_model_1,0.33544701,0.412
7TEE,fold_7tee_2_model_1,0.33544663,0.419
7TEE,fold_7tee_4_model_4,0.33523589,0.519
7TEE,fold_7tee_4_model_2,0.33516464,0.411
7TEE,fold_7tee_2_model_4,0.3350319,0.577
7TEE,fold_7tee_5_model_3,0.33498141,0.493
7TEE,fold_7tee_4_model_0,0.33497527,0.417
7TEE,fold_7tee_3_model_3,0.33494014,0.531
7TEE,fold_7tee_3_model_0,0.33483908,0.509
7TEE,fold_7tee_1_model_3,0.33435971,0.408
7TEE,fold_7tee_3_model_4,0.33403385,0.488
7TEE,fold_7tee_1_model_4,0.33333457,0.537
7TEE,fold_7tee_5_model_2,0.33328092,0.406
