MODEL,PRED_DOCKQ
fold_7vng_5_model_1,0.33133456
fold_7vng_2_model_2,0.33120871
fold_7vng_1_model_4,0.33116555
fold_7vng_3_model_2,0.33095327
fold_7vng_1_model_2,0.33091968
fold_7vng_2_model_3,0.33090863
fold_7vng_1_model_3,0.33084643
fold_7vng_3_model_0,0.33079877
fold_7vng_2_model_1,0.33074948
fold_7vng_4_model_2,0.33071101
fold_7vng_4_model_0,0.33070308
fold_7vng_2_model_4,0.33068934
fold_7vng_3_model_4,0.33068585
fold_7vng_1_model_1,0.33060119
fold_7vng_4_model_1,0.33056888
fold_7vng_1_model_0,0.33056384
fold_7vng_2_model_0,0.33031133
fold_7vng_3_model_1,0.3302986
fold_7vng_3_model_3,0.33028889
fold_7vng_4_model_3,0.33000562
fold_7vng_5_model_4,0.32991093
fold_7vng_5_model_2,0.32990891
fold_7vng_4_model_4,0.32965496
fold_7vng_5_model_0,0.32953936
fold_7vng_5_model_3,0.32945555
