TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
5CBA,model_5_multimer_20220423_663901,0.33349428,0.78
5CBA,model_1_multimer_20220423_294929,0.33297366,0.791
5CBA,model_5_multimer_20220423_294929,0.33295059,0.817
5CBA,model_5_multimer_20220423_296697,0.33291203,0.809
5CBA,model_1_multimer_20220423_862209,0.33289352,0.798
5CBA,model_4_multimer_20220423_663901,0.33268431,0.759
5CBA,ranked_1,0.33255357,0.786
5CBA,model_5_multimer_20220423_121312,0.33255357,0.786
5CBA,model_4_multimer_20220423_121312,0.33248934,0.746
5CBA,ranked_4,0.33248934,0.746
5CBA,model_4_multimer_20220423_296697,0.33235857,0.763
5CBA,model_5_multimer_20220423_862209,0.33235383,0.81
5CBA,model_2_multimer_20220423_294929,0.33235353,0.802
5CBA,model_1_multimer_20220423_121312,0.33234331,0.77
5CBA,ranked_3,0.33234331,0.77
5CBA,ranked_2,0.33233365,0.798
5CBA,model_2_multimer_20220423_121312,0.33233365,0.798
5CBA,model_2_multimer_20220423_663901,0.33226979,0.787
5CBA,model_4_multimer_20220423_862209,0.33223894,0.779
5CBA,model_1_multimer_20220423_296697,0.33215547,0.708
5CBA,model_3_multimer_20220423_296697,0.33215246,0.752
5CBA,model_4_multimer_20220423_294929,0.33214706,0.765
5CBA,model_3_multimer_20220423_294929,0.33214694,0.786
5CBA,model_1_multimer_20220423_663901,0.3321273,0.806
5CBA,ranked_0,0.33210158,0.761
5CBA,model_3_multimer_20220423_121312,0.33210158,0.761
5CBA,model_2_multimer_20220423_296697,0.33180127,0.812
5CBA,model_2_multimer_20220423_862209,0.33176062,0.789
5CBA,model_3_multimer_20220423_663901,0.33138695,0.761
5CBA,model_3_multimer_20220423_862209,0.33077568,0.75
