TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
6A77,model_5_multimer_20220423_663616,0.3316814,0.625
6A77,model_3_multimer_20220423_663616,0.33159328,0.088
6A77,model_5_multimer_20220423_411110,0.33149445,0.634
6A77,model_3_multimer_20220423_996398,0.33137581,0.082
6A77,model_1_multimer_20220423_477699,0.33136782,0.08
6A77,model_3_multimer_20220423_016003,0.33136681,0.081
6A77,ranked_2,0.33136681,0.081
6A77,model_1_multimer_20220423_663616,0.33133402,0.082
6A77,model_3_multimer_20220423_411110,0.33132449,0.081
6A77,ranked_1,0.33130831,0.627
6A77,model_4_multimer_20220423_016003,0.33130831,0.627
6A77,model_2_multimer_20220423_663616,0.33129409,0.082
6A77,model_5_multimer_20220423_477699,0.33124122,0.609
6A77,model_2_multimer_20220423_996398,0.33120257,0.082
6A77,model_5_multimer_20220423_996398,0.33117625,0.09
6A77,model_4_multimer_20220423_996398,0.33112174,0.607
6A77,model_2_multimer_20220423_016003,0.33107492,0.083
6A77,ranked_3,0.33107492,0.083
6A77,model_2_multimer_20220423_477699,0.33104482,0.082
6A77,model_3_multimer_20220423_477699,0.33104083,0.086
6A77,ranked_0,0.33099866,0.671
6A77,model_5_multimer_20220423_016003,0.33099866,0.671
6A77,model_1_multimer_20220423_016003,0.33099064,0.081
6A77,ranked_4,0.33099064,0.081
6A77,model_2_multimer_20220423_411110,0.33092019,0.082
6A77,model_4_multimer_20220423_477699,0.33079562,0.084
6A77,model_1_multimer_20220423_996398,0.33070409,0.081
6A77,model_4_multimer_20220423_411110,0.33059764,0.084
6A77,model_1_multimer_20220423_411110,0.33056027,0.081
6A77,model_4_multimer_20220423_663616,0.33040401,0.082
