TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7SBG,fold_7sbg_5_model_2,0.40644702,0.642
7SBG,fold_7sbg_5_model_3,0.40630937,0.635
7SBG,fold_7sbg_5_model_4,0.40630728,0.646
7SBG,fold_7sbg_5_model_0,0.40628985,0.656
7SBG,fold_7sbg_2_model_1,0.40627465,0.447
7SBG,fold_7sbg_4_model_2,0.40623713,0.645
7SBG,fold_7sbg_4_model_3,0.40622532,0.684
7SBG,fold_7sbg_4_model_1,0.40621394,0.641
7SBG,fold_7sbg_1_model_2,0.40619573,0.65
7SBG,fold_7sbg_5_model_1,0.40619397,0.684
7SBG,fold_7sbg_4_model_4,0.40615556,0.662
7SBG,fold_7sbg_4_model_0,0.40612972,0.659
7SBG,fold_7sbg_2_model_4,0.40604311,0.478
7SBG,fold_7sbg_2_model_3,0.40600303,0.428
7SBG,fold_7sbg_1_model_3,0.40598357,0.419
7SBG,fold_7sbg_2_model_2,0.40593451,0.431
7SBG,fold_7sbg_1_model_4,0.40590385,0.433
7SBG,fold_7sbg_1_model_0,0.40580642,0.416
7SBG,fold_7sbg_3_model_0,0.40572357,0.432
7SBG,fold_7sbg_3_model_3,0.40571567,0.435
7SBG,fold_7sbg_3_model_4,0.40564707,0.421
7SBG,fold_7sbg_2_model_0,0.40564135,0.432
7SBG,fold_7sbg_3_model_1,0.40554541,0.431
7SBG,fold_7sbg_3_model_2,0.4055106,0.414
7SBG,fold_7sbg_1_model_1,0.40527108,0.456
