MODEL,PRED_DOCKQ
fold_7wrv_2_model_2,0.40597564
fold_7wrv_5_model_4,0.4057273
fold_7wrv_4_model_4,0.40568003
fold_7wrv_5_model_0,0.40554675
fold_7wrv_3_model_0,0.40551794
fold_7wrv_2_model_1,0.4054195
fold_7wrv_1_model_3,0.40539131
fold_7wrv_5_model_2,0.40538096
fold_7wrv_5_model_3,0.40538055
fold_7wrv_1_model_4,0.40537879
fold_7wrv_4_model_1,0.4053435
fold_7wrv_4_model_2,0.4053393
fold_7wrv_4_model_3,0.40533143
fold_7wrv_2_model_4,0.40532848
fold_7wrv_1_model_1,0.40529338
fold_7wrv_2_model_0,0.40529031
fold_7wrv_4_model_0,0.40523487
fold_7wrv_5_model_1,0.40521491
fold_7wrv_3_model_2,0.40519431
fold_7wrv_3_model_1,0.4051896
fold_7wrv_1_model_2,0.40513125
fold_7wrv_3_model_4,0.40507784
fold_7wrv_2_model_3,0.40507305
fold_7wrv_3_model_3,0.40498587
fold_7wrv_1_model_0,0.40497071
