MODEL,PRED_DOCKQ
fold_7zf9_3_model_1,0.4062081
fold_7zf9_4_model_0,0.40610084
fold_7zf9_4_model_2,0.40608397
fold_7zf9_1_model_0,0.40606943
fold_7zf9_5_model_4,0.40602168
fold_7zf9_1_model_4,0.40600094
fold_7zf9_4_model_1,0.40595311
fold_7zf9_2_model_1,0.40593934
fold_7zf9_4_model_4,0.40590876
fold_7zf9_5_model_1,0.40588331
fold_7zf9_2_model_4,0.40587932
fold_7zf9_4_model_3,0.40581474
fold_7zf9_3_model_3,0.40580404
fold_7zf9_2_model_2,0.40577093
fold_7zf9_3_model_2,0.40576473
fold_7zf9_3_model_0,0.40576303
fold_7zf9_1_model_1,0.40576237
fold_7zf9_1_model_3,0.4057546
fold_7zf9_3_model_4,0.40574998
fold_7zf9_5_model_2,0.40574574
fold_7zf9_1_model_2,0.4057312
fold_7zf9_2_model_3,0.40572768
fold_7zf9_2_model_0,0.40571901
fold_7zf9_5_model_0,0.40571424
fold_7zf9_5_model_3,0.40570822
