MODEL,PRED_DOCKQ
fold_8gv6_5_model_3,0.40741307
fold_8gv6_3_model_1,0.40720844
fold_8gv6_3_model_2,0.40719604
fold_8gv6_5_model_1,0.40711781
fold_8gv6_5_model_2,0.40710172
fold_8gv6_5_model_4,0.40707937
fold_8gv6_3_model_3,0.40704662
fold_8gv6_3_model_0,0.40698558
fold_8gv6_3_model_4,0.40696821
fold_8gv6_4_model_4,0.40675485
fold_8gv6_1_model_3,0.40668815
fold_8gv6_5_model_0,0.40665752
fold_8gv6_4_model_0,0.40661386
fold_8gv6_4_model_3,0.40660706
fold_8gv6_1_model_2,0.40648657
fold_8gv6_2_model_1,0.40647089
fold_8gv6_1_model_1,0.40644386
fold_8gv6_2_model_0,0.40644079
fold_8gv6_4_model_1,0.40633994
fold_8gv6_2_model_2,0.40632969
fold_8gv6_1_model_0,0.40632707
fold_8gv6_1_model_4,0.40630552
fold_8gv6_4_model_2,0.4062337
fold_8gv6_2_model_3,0.40607846
fold_8gv6_2_model_4,0.40576458
