MODEL,PRED_DOCKQ
model_4_multimer_20220423_823448_tidy,0.40650025
model_4_multimer_20220423_746165_tidy,0.40648001
model_4_multimer_20220423_154353_tidy,0.40647051
model_5_multimer_20220423_746165_tidy,0.40645283
model_2_multimer_20220423_849432_tidy,0.40642866
model_4_multimer_20220423_849432_tidy,0.40638724
model_5_multimer_20220423_823448_tidy,0.4063752
model_1_multimer_20220423_823448_tidy,0.40636489
ranked_2_tidy,0.40635696
model_2_multimer_20220423_928474_tidy,0.40635696
model_2_multimer_20220423_823448_tidy,0.40634754
model_5_multimer_20220423_154353_tidy,0.40633535
model_1_multimer_20220423_849432_tidy,0.40633526
model_3_multimer_20220423_746165_tidy,0.40632135
ranked_3_tidy,0.40630433
model_4_multimer_20220423_928474_tidy,0.40630433
model_3_multimer_20220423_823448_tidy,0.40628153
ranked_1_tidy,0.40625966
model_1_multimer_20220423_928474_tidy,0.40625966
ranked_4_tidy,0.4062379
model_3_multimer_20220423_928474_tidy,0.4062379
model_5_multimer_20220423_928474_tidy,0.40621674
ranked_0_tidy,0.40621674
model_3_multimer_20220423_154353_tidy,0.40621024
model_5_multimer_20220423_849432_tidy,0.40619981
model_3_multimer_20220423_849432_tidy,0.40619165
model_2_multimer_20220423_154353_tidy,0.40618345
model_2_multimer_20220423_746165_tidy,0.4060967
model_1_multimer_20220423_746165_tidy,0.40608969
model_1_multimer_20220423_154353_tidy,0.40594098
