TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7D3Y,structure_temp_dimer_4,0.41451624,0.013
7D3Y,custom_template_file_1,0.41429135,0.012
7D3Y,structure_temp_dimer_1,0.41425306,0.013
7D3Y,species_interact_uniprot_sto_2,0.41394636,0.013
7D3Y,sequence_based_template_4,0.41380489,0.012
7D3Y,custom_template_file_4,0.41367975,0.01
7D3Y,default_2,0.41366938,0.023
7D3Y,species_interact_uniref_sto_0,0.41356531,0.312
7D3Y,string_interact_uniprot_sto_0,0.4134208,0.017
7D3Y,uniclust_oxmatch_a3m_4,0.41334382,0.012
7D3Y,ori_temp_pipeline_with_alphafold_models_0,0.41319731,0.326
7D3Y,custom_template_with_alphafold_models_0,0.41317061,0.326
7D3Y,sequence_based_template_with_alphafold_0,0.41317061,0.326
7D3Y,species_interact_uniprot_sto_3,0.41316354,0.018
7D3Y,structure_temp_dimer_3,0.41316214,0.012
7D3Y,default_1,0.41313848,0.304
7D3Y,structure_temp_dimer_a_0,0.41313192,0.326
7D3Y,sequence_based_template_1,0.41308662,0.022
7D3Y,sequence_based_template_with_alphafold_1,0.4130736,0.316
7D3Y,custom_template_with_alphafold_models_1,0.4130736,0.316
7D3Y,structure_temp_dimer_a_1,0.41305694,0.316
7D3Y,structure_temp_dimer_a_3,0.41299146,0.328
7D3Y,species_interact_uniref_a3m_4,0.41297859,0.014
7D3Y,ori_temp_pipeline_with_alphafold_models_1,0.41297022,0.316
7D3Y,custom_template_file_2,0.41294131,0.013
7D3Y,uniprot_distance_uniref_sto_3,0.41285884,0.019
7D3Y,sequence_based_template_2,0.41284576,0.311
7D3Y,structure_temp_dimer_2,0.41283461,0.316
7D3Y,uniprot_distance_uniref_sto_0,0.41282097,0.323
7D3Y,ori_template_pipeline_4,0.41280407,0.044
7D3Y,ori_temp_pipeline_with_alphafold_models_3,0.4127866,0.327
7D3Y,species_interact_uniref_sto_2,0.41276243,0.026
7D3Y,species_interact_uniprot_sto_4,0.41273957,0.015
7D3Y,species_interact_uniref_a3m_3,0.41264427,0.017
7D3Y,string_interact_uniref_sto_1,0.41263497,0.022
7D3Y,no_templates_0,0.41262034,0.311
7D3Y,string_interact_uniref_sto_3,0.41261345,0.039
7D3Y,ori_template_pipeline_2,0.41254544,0.294
7D3Y,species_interact_uniref_sto_3,0.41252223,0.08
7D3Y,default_4,0.41249549,0.325
7D3Y,uniprot_distance_uniref_sto_2,0.41248879,0.023
7D3Y,uniprot_distance_uniref_sto_4,0.41248497,0.056
7D3Y,custom_template_file_3,0.41245854,0.333
7D3Y,sequence_based_template_with_alphafold_3,0.4124527,0.326
7D3Y,custom_template_with_alphafold_models_3,0.4124527,0.326
7D3Y,structure_temp_dimer_0,0.41234338,0.312
7D3Y,uniprot_distance_uniref_sto_1,0.41233355,0.309
7D3Y,uniclust_oxmatch_a3m_0,0.41232789,0.012
7D3Y,custom_template_file_0,0.41231379,0.329
7D3Y,ori_temp_pipeline_with_alphafold_models_2,0.41231233,0.324
7D3Y,ori_template_pipeline_1,0.41227955,0.024
7D3Y,custom_template_with_alphafold_models_2,0.41224197,0.324
7D3Y,sequence_based_template_with_alphafold_2,0.41224197,0.324
7D3Y,uniclust_oxmatch_a3m_1,0.4122107,0.073
7D3Y,structure_temp_dimer_a_2,0.41220304,0.324
7D3Y,uniclust_oxmatch_a3m_2,0.41218945,0.058
7D3Y,string_interact_uniref_sto_4,0.41218311,0.017
7D3Y,string_interact_uniref_sto_0,0.41216618,0.311
