TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7D7F,no_templates_3,0.41168988,0.016
7D7F,uniprot_distance_uniref_sto_3,0.41164318,0.018
7D7F,string_interact_uniprot_sto_3,0.41163501,0.016
7D7F,string_interact_uniprot_sto_2,0.41159302,0.011
7D7F,uniprot_distance_uniref_sto_4,0.41155106,0.014
7D7F,uniprot_distance_uniref_sto_0,0.41153628,0.016
7D7F,string_interact_uniprot_sto_4,0.41148654,0.009
7D7F,string_interact_uniref_a3m_3,0.41148418,0.457
7D7F,uniprot_distance_uniref_sto_2,0.41148248,0.016
7D7F,default_4,0.41147584,0.011
7D7F,structure_temp_dimer_0,0.41146779,0.006
7D7F,string_interact_uniref_sto_3,0.41146114,0.016
7D7F,no_templates_4,0.41145799,0.234
7D7F,species_interact_uniref_sto_0,0.41145554,0.019
7D7F,pdb_interact_uniprot_sto_4,0.41143942,0.016
7D7F,no_templates_2,0.41140488,0.011
7D7F,species_interact_uniref_sto_3,0.41140246,0.016
7D7F,ori_template_pipeline_4,0.41139778,0.011
7D7F,pdb_interact_uniref_a3m_4,0.41139534,0.474
7D7F,structure_temp_dimer_3,0.41139272,0.014
7D7F,uniprot_distance_uniprot_sto_4,0.41136706,0.016
7D7F,string_interact_uniref_sto_1,0.41135982,0.007
7D7F,pdb_interact_uniref_sto_4,0.41135275,0.006
7D7F,default_3,0.41134939,0.016
7D7F,structure_temp_dimer_4,0.41133952,0.006
7D7F,custom_template_file_2,0.41133243,0.006
7D7F,pdb_interact_uniref_sto_2,0.41132969,0.016
7D7F,custom_template_file_3,0.41132572,0.007
7D7F,pdb_interact_uniprot_sto_0,0.4113225,0.007
7D7F,uniprot_distance_uniprot_sto_2,0.41132218,0.016
7D7F,no_templates_1,0.411322,0.016
7D7F,uniprot_distance_uniref_sto_1,0.41131911,0.014
7D7F,species_interact_uniref_sto_4,0.41131851,0.014
7D7F,no_templates_0,0.4113031,0.016
7D7F,default_2,0.41130015,0.014
7D7F,pdb_interact_uniref_sto_3,0.41129547,0.016
7D7F,custom_template_file_1,0.41129321,0.007
7D7F,pdb_interact_uniref_sto_0,0.41126078,0.007
7D7F,ori_template_pipeline_3,0.41125816,0.006
7D7F,species_interact_uniprot_sto_2,0.41125134,0.011
7D7F,structure_temp_dimer_2,0.41124034,0.006
7D7F,default_0,0.41124013,0.016
7D7F,sequence_based_template_4,0.41123915,0.006
7D7F,string_interact_uniprot_sto_0,0.41123521,0.011
7D7F,ori_template_pipeline_0,0.41122684,0.007
7D7F,species_interact_uniref_sto_1,0.4112187,0.014
7D7F,uniclust_oxmatch_a3m_3,0.41119635,0.007
7D7F,species_interact_uniprot_sto_1,0.41115999,0.016
7D7F,uniclust_oxmatch_a3m_0,0.41115937,0.006
7D7F,sequence_based_template_0,0.41114935,0.006
7D7F,pdb_interact_uniprot_sto_3,0.41114572,0.006
7D7F,uniprot_distance_uniprot_sto_3,0.41114089,0.006
7D7F,species_interact_uniprot_sto_4,0.41112953,0.011
7D7F,custom_template_file_4,0.411125,0.007
7D7F,uniprot_distance_uniprot_sto_1,0.41111898,0.007
7D7F,uniprot_distance_uniprot_sto_0,0.41111431,0.011
7D7F,species_interact_uniref_sto_2,0.41109809,0.007
7D7F,structure_temp_dimer_a_1,0.41108659,0.006
7D7F,sequence_based_template_with_alphafold_1,0.41108528,0.006
