TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7LXT,pdb_interact_uniprot_sto_3,0.40810093,0.093
7LXT,uniprot_distance_uniref_sto_2,0.40781993,0.312
7LXT,uniprot_distance_uniprot_sto_3,0.40720505,0.094
7LXT,uniprot_distance_uniprot_sto_4,0.40717208,0.14
7LXT,pdb_interact_uniprot_sto_4,0.40716171,0.218
7LXT,uniclust_oxmatch_a3m_4,0.40700945,0.021
7LXT,pdb_interact_uniprot_sto_2,0.4067457,0.1
7LXT,pdb_interact_uniprot_sto_1,0.40672278,0.127
7LXT,uniclust_oxmatch_a3m_3,0.40665036,0.021
7LXT,string_interact_uniprot_sto_2,0.4065946,0.556
7LXT,pdb_interact_uniref_a3m_4,0.40651971,0.017
7LXT,structure_temp_dimer_4,0.40645853,0.599
7LXT,uniprot_distance_uniref_a3m_4,0.40645581,0.017
7LXT,string_interact_uniref_sto_0,0.40645182,0.553
7LXT,string_interact_uniref_a3m_4,0.4064163,0.021
7LXT,string_interact_uniref_sto_1,0.40636116,0.557
7LXT,species_interact_uniprot_sto_0,0.4063496,0.55
7LXT,pdb_interact_uniref_a3m_2,0.40633896,0.09
7LXT,custom_template_file_4,0.40633717,0.595
7LXT,ori_template_pipeline_4,0.40628159,0.542
7LXT,no_templates_0,0.40626109,0.092
7LXT,uniclust_oxmatch_a3m_1,0.40624917,0.013
7LXT,uniprot_distance_uniref_sto_0,0.40622905,0.564
7LXT,string_interact_uniprot_sto_3,0.4061774,0.559
7LXT,custom_template_file_3,0.40615788,0.606
7LXT,no_templates_1,0.40615165,0.092
7LXT,uniprot_distance_uniref_a3m_3,0.40615106,0.09
7LXT,sequence_based_template_4,0.40614879,0.603
7LXT,pdb_interact_uniref_sto_0,0.40613991,0.568
7LXT,no_templates_2,0.40613902,0.134
7LXT,string_interact_uniprot_sto_0,0.4061361,0.555
7LXT,string_interact_uniprot_sto_1,0.40612885,0.557
7LXT,species_interact_uniprot_sto_1,0.40611747,0.555
7LXT,species_interact_uniprot_sto_2,0.40608901,0.558
7LXT,custom_template_file_2,0.40608299,0.566
7LXT,sequence_based_template_3,0.40608129,0.597
7LXT,species_interact_uniprot_sto_3,0.4060725,0.581
7LXT,species_interact_uniprot_sto_4,0.40607238,0.597
7LXT,structure_temp_dimer_3,0.40606847,0.607
7LXT,string_interact_uniprot_sto_4,0.40604842,0.544
7LXT,uniclust_oxmatch_a3m_0,0.40603778,0.09
7LXT,structure_temp_dimer_2,0.4060154,0.565
7LXT,custom_template_file_1,0.40599006,0.584
7LXT,ori_template_pipeline_3,0.40598714,0.605
7LXT,species_interact_uniref_sto_3,0.40598318,0.567
7LXT,default_4,0.40597507,0.596
7LXT,pdb_interact_uniref_a3m_3,0.40596977,0.021
7LXT,sequence_based_template_with_alphafold_3,0.40595645,0.584
7LXT,custom_template_with_alphafold_models_3,0.40595645,0.584
7LXT,structure_temp_dimer_a_3,0.40594774,0.584
7LXT,string_interact_uniref_a3m_3,0.40593851,0.017
7LXT,species_interact_uniref_a3m_2,0.40593848,0.091
7LXT,default_2,0.40593761,0.562
7LXT,species_interact_uniref_sto_1,0.40593642,0.594
7LXT,species_interact_uniref_sto_4,0.4059231,0.573
7LXT,custom_template_file_0,0.40591756,0.581
7LXT,default_3,0.4059107,0.592
7LXT,ori_template_pipeline_2,0.40590304,0.56
7LXT,structure_temp_dimer_1,0.40589997,0.584
7LXT,default_0,0.40587354,0.575
7LXT,string_interact_uniref_sto_2,0.40587154,0.548
7LXT,pdb_interact_uniref_a3m_1,0.40586746,0.098
7LXT,structure_temp_dimer_0,0.40585911,0.581
7LXT,pdb_interact_uniref_sto_2,0.40584955,0.155
7LXT,uniprot_distance_uniref_a3m_2,0.40582123,0.091
7LXT,species_interact_uniref_sto_0,0.40581584,0.573
7LXT,uniprot_distance_uniprot_sto_0,0.4058083,0.095
7LXT,uniprot_distance_uniref_sto_1,0.40580335,0.599
7LXT,ori_temp_pipeline_with_alphafold_models_3,0.40580258,0.584
7LXT,uniprot_distance_uniref_a3m_0,0.40579864,0.091
7LXT,pdb_interact_uniref_sto_1,0.40579322,0.593
7LXT,sequence_based_template_2,0.40577859,0.567
7LXT,species_interact_uniref_sto_2,0.40576637,0.565
7LXT,ori_template_pipeline_1,0.40576035,0.593
7LXT,uniprot_distance_uniref_a3m_1,0.40574941,0.098
7LXT,sequence_based_template_0,0.40574136,0.577
7LXT,default_1,0.4057287,0.58
7LXT,sequence_based_template_with_alphafold_0,0.40572163,0.594
7LXT,custom_template_with_alphafold_models_0,0.40572163,0.594
7LXT,custom_template_with_alphafold_models_4,0.40570304,0.591
7LXT,sequence_based_template_with_alphafold_4,0.40570304,0.591
7LXT,string_interact_uniref_sto_3,0.40569907,0.561
7LXT,structure_temp_dimer_a_4,0.40569898,0.591
7LXT,ori_temp_pipeline_with_alphafold_models_4,0.40569809,0.591
7LXT,ori_temp_pipeline_with_alphafold_models_0,0.40569752,0.594
7LXT,string_interact_uniref_a3m_2,0.40569079,0.606
7LXT,no_templates_3,0.40566561,0.091
7LXT,structure_temp_dimer_a_0,0.40566501,0.594
7LXT,sequence_based_template_1,0.40566313,0.574
7LXT,uniclust_oxmatch_a3m_2,0.40566137,0.582
7LXT,species_interact_uniref_a3m_0,0.40565526,0.091
7LXT,species_interact_uniref_a3m_1,0.40564677,0.091
7LXT,pdb_interact_uniref_a3m_0,0.40563875,0.09
7LXT,ori_temp_pipeline_with_alphafold_models_1,0.40563318,0.592
7LXT,custom_template_with_alphafold_models_1,0.40563294,0.592
7LXT,sequence_based_template_with_alphafold_1,0.40563294,0.592
7LXT,structure_temp_dimer_a_1,0.40563217,0.592
7LXT,pdb_interact_uniprot_sto_0,0.40562636,0.095
7LXT,string_interact_uniref_sto_4,0.40561193,0.57
7LXT,string_interact_uniref_a3m_1,0.40561029,0.094
7LXT,uniprot_distance_uniprot_sto_1,0.40557671,0.095
7LXT,structure_temp_dimer_a_2,0.40557107,0.594
7LXT,species_interact_uniref_a3m_4,0.40556815,0.585
7LXT,uniprot_distance_uniprot_sto_2,0.40556511,0.101
7LXT,ori_template_pipeline_0,0.4055596,0.569
7LXT,custom_template_with_alphafold_models_2,0.40555617,0.594
7LXT,sequence_based_template_with_alphafold_2,0.40555617,0.594
7LXT,ori_temp_pipeline_with_alphafold_models_2,0.40555423,0.594
7LXT,uniprot_distance_uniref_sto_3,0.40550441,0.109
7LXT,string_interact_uniref_a3m_0,0.40549073,0.09
