TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7OM4,fold_7om4_3_model_0,0.31200266,0.49
7OM4,fold_7om4_3_model_1,0.31196171,0.48
7OM4,fold_7om4_3_model_4,0.31110969,0.491
7OM4,fold_7om4_4_model_0,0.31099826,0.603
7OM4,fold_7om4_4_model_2,0.31091297,0.587
7OM4,fold_7om4_4_model_3,0.31055087,0.588
7OM4,fold_7om4_2_model_0,0.31050661,0.628
7OM4,fold_7om4_4_model_1,0.31041083,0.595
7OM4,fold_7om4_4_model_4,0.31030637,0.608
7OM4,fold_7om4_5_model_2,0.31002969,0.446
7OM4,fold_7om4_1_model_4,0.30992347,0.449
7OM4,fold_7om4_3_model_3,0.30982468,0.484
7OM4,fold_7om4_1_model_1,0.30979174,0.479
7OM4,fold_7om4_5_model_3,0.30959785,0.441
7OM4,fold_7om4_1_model_2,0.30958945,0.448
7OM4,fold_7om4_5_model_0,0.30942932,0.683
7OM4,fold_7om4_2_model_1,0.30913547,0.634
7OM4,fold_7om4_5_model_1,0.30873114,0.446
7OM4,fold_7om4_1_model_0,0.30871591,0.617
7OM4,fold_7om4_3_model_2,0.30869177,0.483
7OM4,fold_7om4_1_model_3,0.30845419,0.453
7OM4,fold_7om4_2_model_2,0.30831668,0.463
7OM4,fold_7om4_2_model_3,0.30715534,0.45
7OM4,fold_7om4_2_model_4,0.30596974,0.455
7OM4,fold_7om4_5_model_4,0.30474517,0.445
