MODEL,PRED_DOCKQ
fold_7om4_3_model_0,0.31200266
fold_7om4_3_model_1,0.31196171
fold_7om4_3_model_4,0.31110969
fold_7om4_4_model_0,0.31099826
fold_7om4_4_model_2,0.31091297
fold_7om4_4_model_3,0.31055087
fold_7om4_2_model_0,0.31050661
fold_7om4_4_model_1,0.31041083
fold_7om4_4_model_4,0.31030637
fold_7om4_5_model_2,0.31002969
fold_7om4_1_model_4,0.30992347
fold_7om4_3_model_3,0.30982468
fold_7om4_1_model_1,0.30979174
fold_7om4_5_model_3,0.30959785
fold_7om4_1_model_2,0.30958945
fold_7om4_5_model_0,0.30942932
fold_7om4_2_model_1,0.30913547
fold_7om4_5_model_1,0.30873114
fold_7om4_1_model_0,0.30871591
fold_7om4_3_model_2,0.30869177
fold_7om4_1_model_3,0.30845419
fold_7om4_2_model_2,0.30831668
fold_7om4_2_model_3,0.30715534
fold_7om4_2_model_4,0.30596974
fold_7om4_5_model_4,0.30474517
