TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7SWN,fold_7swn_4_model_2,0.30805904,0.689
7SWN,fold_7swn_4_model_0,0.30803934,0.612
7SWN,fold_7swn_5_model_3,0.30801094,0.649
7SWN,fold_7swn_2_model_1,0.30796582,0.708
7SWN,fold_7swn_4_model_3,0.30788538,0.599
7SWN,fold_7swn_4_model_1,0.30787286,0.483
7SWN,fold_7swn_3_model_4,0.30783504,0.72
7SWN,fold_7swn_3_model_0,0.3078047,0.715
7SWN,fold_7swn_2_model_0,0.30762643,0.72
7SWN,fold_7swn_5_model_4,0.30761176,0.673
7SWN,fold_7swn_5_model_1,0.30758497,0.676
7SWN,fold_7swn_1_model_3,0.30755755,0.716
7SWN,fold_7swn_3_model_3,0.3075546,0.727
7SWN,fold_7swn_1_model_0,0.30753958,0.723
7SWN,fold_7swn_4_model_4,0.30749169,0.541
7SWN,fold_7swn_5_model_2,0.30744025,0.639
7SWN,fold_7swn_3_model_2,0.30742905,0.719
7SWN,fold_7swn_3_model_1,0.30742759,0.718
7SWN,fold_7swn_5_model_0,0.30742335,0.69
7SWN,fold_7swn_1_model_4,0.30742213,0.729
7SWN,fold_7swn_1_model_2,0.30731449,0.716
7SWN,fold_7swn_1_model_1,0.30731151,0.72
7SWN,fold_7swn_2_model_4,0.30727246,0.725
7SWN,fold_7swn_2_model_3,0.307136,0.726
7SWN,fold_7swn_2_model_2,0.30710557,0.726
