TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
8B7W,fold_8b7w_1_model_3,0.31470844,0.018
8B7W,fold_8b7w_2_model_0,0.31226498,0.019
8B7W,fold_8b7w_4_model_0,0.31153181,0.055
8B7W,fold_8b7w_3_model_2,0.31125236,0.14
8B7W,fold_8b7w_5_model_1,0.31029624,0.015
8B7W,fold_8b7w_3_model_4,0.3101995,0.242
8B7W,fold_8b7w_1_model_1,0.31018481,0.059
8B7W,fold_8b7w_3_model_1,0.30953804,0.022
8B7W,fold_8b7w_3_model_0,0.30919605,0.208
8B7W,fold_8b7w_4_model_1,0.30855012,0.055
8B7W,fold_8b7w_3_model_3,0.30718225,0.012
8B7W,fold_8b7w_4_model_2,0.3065322,0.057
8B7W,fold_8b7w_2_model_3,0.30652502,0.035
8B7W,fold_8b7w_4_model_4,0.3060452,0.036
8B7W,fold_8b7w_4_model_3,0.30599937,0.019
8B7W,fold_8b7w_1_model_0,0.30591324,0.084
8B7W,fold_8b7w_2_model_2,0.30567259,0.057
8B7W,fold_8b7w_5_model_4,0.30536038,0.018
8B7W,fold_8b7w_1_model_4,0.30477521,0.014
8B7W,fold_8b7w_1_model_2,0.30453721,0.048
8B7W,fold_8b7w_5_model_0,0.30447999,0.015
8B7W,fold_8b7w_2_model_4,0.30324903,0.034
8B7W,fold_8b7w_2_model_1,0.30234414,0.059
8B7W,fold_8b7w_5_model_3,0.30227217,0.043
8B7W,fold_8b7w_5_model_2,0.30205101,0.034
