TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
5KOV,ranked_4,0.31050071,0.19
5KOV,model_2_multimer_20220423_842283,0.31050071,0.19
5KOV,model_1_multimer_20220423_338795,0.31028587,0.21
5KOV,model_3_multimer_20220423_066513,0.31020451,0.189
5KOV,model_1_multimer_20220423_920758,0.31003058,0.184
5KOV,model_2_multimer_20220423_018234,0.30994949,0.179
5KOV,model_5_multimer_20220423_920758,0.30994165,0.186
5KOV,model_4_multimer_20220423_018234,0.30994034,0.254
5KOV,model_2_multimer_20220423_338795,0.30987728,0.185
5KOV,model_2_multimer_20220423_066513,0.30986056,0.185
5KOV,model_3_multimer_20220423_920758,0.30983749,0.27
5KOV,model_3_multimer_20220423_842283,0.30976996,0.205
5KOV,ranked_2,0.30976996,0.205
5KOV,model_4_multimer_20220423_842283,0.309715,0.179
5KOV,ranked_3,0.309715,0.179
5KOV,model_3_multimer_20220423_338795,0.30967358,0.186
5KOV,model_4_multimer_20220423_338795,0.30963877,0.18
5KOV,model_3_multimer_20220423_018234,0.30935714,0.216
5KOV,model_4_multimer_20220423_920758,0.30921409,0.19
5KOV,model_4_multimer_20220423_066513,0.30919233,0.175
5KOV,model_5_multimer_20220423_066513,0.30916694,0.187
5KOV,model_1_multimer_20220423_018234,0.30916631,0.186
5KOV,model_1_multimer_20220423_842283,0.30898297,0.18
5KOV,ranked_1,0.30898297,0.18
5KOV,model_2_multimer_20220423_920758,0.30889007,0.193
5KOV,model_1_multimer_20220423_066513,0.30845875,0.192
5KOV,model_5_multimer_20220423_338795,0.30841863,0.188
5KOV,model_5_multimer_20220423_018234,0.3083863,0.2
5KOV,model_5_multimer_20220423_842283,0.3083401,0.183
5KOV,ranked_0,0.3083401,0.183
