MODEL,PRED_DOCKQ
fold_7r40_1_model_0,0.44536272
fold_7r40_3_model_4,0.44516191
fold_7r40_1_model_1,0.44515437
fold_7r40_5_model_3,0.44490391
fold_7r40_3_model_0,0.44481859
fold_7r40_1_model_3,0.44478029
fold_7r40_4_model_1,0.44470376
fold_7r40_4_model_0,0.44435874
fold_7r40_5_model_2,0.44421539
fold_7r40_3_model_1,0.44410223
fold_7r40_4_model_3,0.44404998
fold_7r40_5_model_4,0.44387475
fold_7r40_2_model_1,0.4438712
fold_7r40_5_model_0,0.44378281
fold_7r40_1_model_2,0.4437443
fold_7r40_4_model_4,0.44366837
fold_7r40_3_model_2,0.44361603
fold_7r40_2_model_3,0.44357347
fold_7r40_3_model_3,0.44348142
fold_7r40_1_model_4,0.44326419
fold_7r40_4_model_2,0.44290382
fold_7r40_2_model_0,0.44215396
fold_7r40_5_model_1,0.44179666
fold_7r40_2_model_4,0.44114214
fold_7r40_2_model_2,0.44093406
