TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7WRV,fold_7wrv_2_model_2,0.44531387,0.285
7WRV,fold_7wrv_4_model_4,0.44494057,0.432
7WRV,fold_7wrv_5_model_0,0.4445951,0.419
7WRV,fold_7wrv_5_model_3,0.44455683,0.408
7WRV,fold_7wrv_5_model_4,0.44449443,0.467
7WRV,fold_7wrv_2_model_1,0.4444575,0.296
7WRV,fold_7wrv_3_model_2,0.44443437,0.305
7WRV,fold_7wrv_3_model_0,0.44435346,0.412
7WRV,fold_7wrv_4_model_1,0.44433248,0.449
7WRV,fold_7wrv_4_model_0,0.44432744,0.447
7WRV,fold_7wrv_5_model_2,0.44432655,0.442
7WRV,fold_7wrv_1_model_1,0.4442943,0.39
7WRV,fold_7wrv_2_model_4,0.44426283,0.285
7WRV,fold_7wrv_1_model_3,0.44420221,0.292
7WRV,fold_7wrv_1_model_2,0.44417843,0.296
7WRV,fold_7wrv_1_model_4,0.44417843,0.273
7WRV,fold_7wrv_4_model_2,0.44415641,0.422
7WRV,fold_7wrv_2_model_0,0.4440501,0.279
7WRV,fold_7wrv_3_model_1,0.44392127,0.474
7WRV,fold_7wrv_5_model_1,0.44391546,0.484
7WRV,fold_7wrv_4_model_3,0.44380412,0.419
7WRV,fold_7wrv_1_model_0,0.44379529,0.386
7WRV,fold_7wrv_2_model_3,0.4437905,0.273
7WRV,fold_7wrv_3_model_3,0.44355452,0.281
7WRV,fold_7wrv_3_model_4,0.44338676,0.355
