TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7ZR7,fold_7zr7_4_model_1,0.44789967,0.537
7ZR7,fold_7zr7_3_model_4,0.44696081,0.506
7ZR7,fold_7zr7_4_model_0,0.44694149,0.527
7ZR7,fold_7zr7_4_model_2,0.44688657,0.538
7ZR7,fold_7zr7_3_model_0,0.44660968,0.843
7ZR7,fold_7zr7_5_model_2,0.44627824,0.508
7ZR7,fold_7zr7_1_model_0,0.4461866,0.847
7ZR7,fold_7zr7_1_model_2,0.44616857,0.792
7ZR7,fold_7zr7_5_model_4,0.4458383,0.522
7ZR7,fold_7zr7_5_model_0,0.4456901,0.51
7ZR7,fold_7zr7_2_model_4,0.4455598,0.846
7ZR7,fold_7zr7_4_model_4,0.44553909,0.511
7ZR7,fold_7zr7_2_model_2,0.4455103,0.515
7ZR7,fold_7zr7_4_model_3,0.44548297,0.516
7ZR7,fold_7zr7_2_model_0,0.44541928,0.515
7ZR7,fold_7zr7_2_model_3,0.4451727,0.513
7ZR7,fold_7zr7_3_model_3,0.44501758,0.52
7ZR7,fold_7zr7_1_model_4,0.44498783,0.522
7ZR7,fold_7zr7_5_model_3,0.44486097,0.522
7ZR7,fold_7zr7_3_model_1,0.44472286,0.493
7ZR7,fold_7zr7_5_model_1,0.44471985,0.515
7ZR7,fold_7zr7_2_model_1,0.44468179,0.453
7ZR7,fold_7zr7_1_model_3,0.4443078,0.532
7ZR7,fold_7zr7_3_model_2,0.44424129,0.859
7ZR7,fold_7zr7_1_model_1,0.44388762,0.506
