TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7AOH,no_templates_3,0.44769481,0.582
7AOH,species_interact_uniprot_sto_2,0.44755378,0.902
7AOH,species_interact_uniprot_sto_0,0.44742912,0.897
7AOH,ori_template_pipeline_1,0.44734037,0.91
7AOH,species_interact_uniprot_sto_4,0.44733649,0.89
7AOH,uniprot_distance_uniprot_sto_0,0.44731542,0.89
7AOH,species_interact_uniref_sto_1,0.44725132,0.917
7AOH,structure_temp_dimer_4,0.44724989,0.926
7AOH,uniclust_oxmatch_a3m_0,0.44720343,0.921
7AOH,structure_temp_dimer_3,0.44719675,0.924
7AOH,default_0,0.44715929,0.915
7AOH,pdb_interact_uniref_sto_2,0.44714966,0.907
7AOH,default_2,0.44714409,0.899
7AOH,ori_template_pipeline_2,0.44713324,0.904
7AOH,species_interact_uniref_a3m_0,0.44711238,0.907
7AOH,species_interact_uniref_a3m_4,0.44710779,0.008
7AOH,species_interact_uniprot_sto_3,0.44709265,0.905
7AOH,pdb_interact_uniprot_sto_4,0.44708225,0.868
7AOH,ori_template_pipeline_3,0.44705081,0.905
7AOH,species_interact_uniref_sto_2,0.44701323,0.896
7AOH,no_templates_2,0.44701299,0.649
7AOH,uniprot_distance_uniref_sto_2,0.4470067,0.904
7AOH,default_3,0.44699025,0.915
7AOH,sequence_based_template_1,0.44698441,0.9
7AOH,uniprot_distance_uniprot_sto_2,0.44697726,0.889
7AOH,custom_template_file_0,0.44697687,0.933
7AOH,custom_template_file_1,0.44697043,0.928
7AOH,default_1,0.44696701,0.889
7AOH,custom_template_file_4,0.44694883,0.931
7AOH,pdb_interact_uniprot_sto_3,0.44693276,0.875
7AOH,species_interact_uniref_sto_3,0.44692877,0.901
7AOH,pdb_interact_uniprot_sto_0,0.44690099,0.887
7AOH,pdb_interact_uniref_sto_4,0.4468821,0.903
7AOH,custom_template_file_3,0.44685078,0.923
7AOH,species_interact_uniref_a3m_3,0.4468247,0.835
7AOH,pdb_interact_uniref_sto_1,0.44681793,0.886
7AOH,custom_template_with_alphafold_models_0,0.44679716,0.747
7AOH,custom_template_file_2,0.44679704,0.925
7AOH,uniprot_distance_uniref_sto_3,0.4467907,0.923
7AOH,structure_temp_dimer_a_0,0.44679061,0.747
7AOH,species_interact_uniref_sto_0,0.44678342,0.903
7AOH,uniprot_distance_uniprot_sto_4,0.44677177,0.878
7AOH,sequence_based_template_with_alphafold_0,0.4467707,0.747
7AOH,ori_temp_pipeline_with_alphafold_models_0,0.4467707,0.747
7AOH,structure_temp_dimer_0,0.4467687,0.928
7AOH,uniprot_distance_uniprot_sto_3,0.44676638,0.903
7AOH,species_interact_uniref_a3m_1,0.44673967,0.897
7AOH,ori_template_pipeline_0,0.44672436,0.895
7AOH,species_interact_uniprot_sto_1,0.44671723,0.886
7AOH,default_4,0.44670552,0.901
7AOH,pdb_interact_uniprot_sto_2,0.44669217,0.873
7AOH,uniclust_oxmatch_a3m_2,0.44668812,0.91
7AOH,uniprot_distance_uniref_sto_1,0.44666705,0.889
7AOH,sequence_based_template_2,0.44666272,0.87
7AOH,pdb_interact_uniref_sto_0,0.44663098,0.901
7AOH,structure_temp_dimer_2,0.44662315,0.93
7AOH,sequence_based_template_0,0.44660318,0.905
7AOH,structure_temp_dimer_1,0.44659775,0.936
7AOH,pdb_interact_uniprot_sto_1,0.44658658,0.89
7AOH,species_interact_uniref_sto_4,0.44655424,0.889
7AOH,uniprot_distance_uniref_sto_0,0.44653973,0.897
7AOH,uniprot_distance_uniprot_sto_1,0.44651425,0.891
7AOH,uniclust_oxmatch_a3m_1,0.44651216,0.919
7AOH,species_interact_uniref_a3m_2,0.44648442,0.875
7AOH,pdb_interact_uniref_sto_3,0.44646543,0.89
7AOH,uniclust_oxmatch_a3m_3,0.44643354,0.897
7AOH,uniprot_distance_uniref_sto_4,0.44640392,0.907
7AOH,ori_template_pipeline_4,0.44634613,0.887
7AOH,sequence_based_template_3,0.44623825,0.901
7AOH,sequence_based_template_4,0.44613639,0.878
7AOH,uniclust_oxmatch_a3m_4,0.44488522,0.857
7AOH,no_templates_1,0.44441596,0.615
7AOH,ori_temp_pipeline_with_alphafold_models_1,0.44438899,0.701
7AOH,sequence_based_template_with_alphafold_1,0.4443869,0.701
7AOH,custom_template_with_alphafold_models_1,0.44435301,0.701
7AOH,sequence_based_template_with_alphafold_2,0.44434696,0.716
7AOH,ori_temp_pipeline_with_alphafold_models_2,0.44434643,0.716
7AOH,structure_temp_dimer_a_1,0.44434562,0.701
7AOH,custom_template_with_alphafold_models_2,0.44433734,0.716
7AOH,structure_temp_dimer_a_2,0.44433653,0.716
7AOH,custom_template_with_alphafold_models_3,0.44433451,0.699
7AOH,structure_temp_dimer_a_3,0.44433296,0.699
7AOH,sequence_based_template_with_alphafold_3,0.44433132,0.699
7AOH,ori_temp_pipeline_with_alphafold_models_3,0.44433096,0.699
7AOH,custom_template_with_alphafold_models_4,0.44393218,0.676
7AOH,sequence_based_template_with_alphafold_4,0.44391319,0.676
7AOH,ori_temp_pipeline_with_alphafold_models_4,0.44391206,0.676
7AOH,structure_temp_dimer_a_4,0.4438661,0.676
7AOH,no_templates_4,0.44312912,0.472
7AOH,no_templates_0,0.44253543,0.59
