TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7MRW,custom_template_file_2,0.456341,0.019
7MRW,structure_temp_dimer_4,0.45618647,0.01
7MRW,custom_template_file_4,0.45570764,0.007
7MRW,structure_temp_dimer_3,0.45567784,0.009
7MRW,custom_template_file_3,0.45552221,0.007
7MRW,structure_temp_dimer_a_1,0.45508137,0.006
7MRW,custom_template_with_alphafold_models_1,0.45506138,0.006
7MRW,ori_temp_pipeline_with_alphafold_models_0,0.45487303,0.006
7MRW,sequence_based_template_with_alphafold_0,0.45487303,0.006
7MRW,custom_template_with_alphafold_models_0,0.45485255,0.006
7MRW,ori_temp_pipeline_with_alphafold_models_1,0.45483744,0.006
7MRW,sequence_based_template_with_alphafold_1,0.45483744,0.006
7MRW,structure_temp_dimer_a_0,0.45451191,0.006
7MRW,structure_temp_dimer_2,0.45441774,0.005
7MRW,structure_temp_dimer_a_2,0.45407113,0.011
7MRW,custom_template_with_alphafold_models_2,0.45404994,0.011
7MRW,ori_temp_pipeline_with_alphafold_models_3,0.45398402,0.01
7MRW,sequence_based_template_with_alphafold_3,0.45398402,0.01
7MRW,ori_temp_pipeline_with_alphafold_models_2,0.45394084,0.011
7MRW,sequence_based_template_with_alphafold_2,0.45394084,0.011
7MRW,structure_temp_dimer_a_3,0.45388758,0.01
7MRW,custom_template_with_alphafold_models_3,0.45385927,0.01
7MRW,custom_template_file_0,0.45367879,0.006
7MRW,custom_template_file_1,0.45358321,0.007
7MRW,no_templates_1,0.4535082,0.072
7MRW,no_templates_4,0.4533135,0.013
7MRW,structure_temp_dimer_0,0.45258281,0.006
7MRW,no_templates_2,0.45247883,0.007
7MRW,sequence_based_template_0,0.45246798,0.054
7MRW,sequence_based_template_1,0.45237505,0.009
7MRW,sequence_based_template_4,0.45226872,0.01
7MRW,structure_temp_dimer_a_4,0.45210299,0.011
7MRW,custom_template_with_alphafold_models_4,0.4520632,0.011
7MRW,ori_temp_pipeline_with_alphafold_models_4,0.45204124,0.011
7MRW,sequence_based_template_with_alphafold_4,0.45204124,0.011
7MRW,structure_temp_dimer_1,0.45184436,0.009
7MRW,no_templates_0,0.45024383,0.068
7MRW,sequence_based_template_2,0.45017299,0.009
7MRW,no_templates_3,0.45009503,0.008
7MRW,sequence_based_template_3,0.44954112,0.012
7MRW,uniclust_oxmatch_a3m_1,0.44687581,0.585
7MRW,string_interact_uniref_sto_4,0.44681191,0.492
7MRW,uniclust_oxmatch_a3m_4,0.44681087,0.597
7MRW,default_3,0.44681022,0.588
7MRW,string_interact_uniprot_sto_3,0.44663009,0.542
7MRW,uniprot_distance_uniprot_sto_4,0.44654298,0.518
7MRW,uniprot_distance_uniprot_sto_1,0.44652072,0.607
7MRW,species_interact_uniref_a3m_2,0.44649923,0.55
7MRW,ori_template_pipeline_2,0.44642144,0.586
7MRW,species_interact_uniref_a3m_1,0.44641721,0.58
7MRW,ori_template_pipeline_0,0.44640708,0.584
7MRW,string_interact_uniref_sto_3,0.44638386,0.492
7MRW,uniclust_oxmatch_a3m_0,0.44630909,0.595
7MRW,species_interact_uniprot_sto_0,0.44630158,0.59
7MRW,species_interact_uniref_sto_0,0.44628963,0.482
7MRW,string_interact_uniprot_sto_4,0.44628873,0.497
7MRW,species_interact_uniref_a3m_4,0.44613299,0.571
7MRW,uniclust_oxmatch_a3m_3,0.44611809,0.564
7MRW,string_interact_uniref_a3m_3,0.44611368,0.573
7MRW,species_interact_uniprot_sto_3,0.44610053,0.506
7MRW,species_interact_uniref_sto_2,0.44605374,0.476
7MRW,string_interact_uniprot_sto_0,0.44600916,0.608
7MRW,uniclust_oxmatch_a3m_2,0.44600555,0.534
7MRW,species_interact_uniprot_sto_2,0.44597894,0.492
7MRW,species_interact_uniref_a3m_0,0.44597188,0.585
7MRW,string_interact_uniref_a3m_2,0.44595006,0.588
7MRW,default_4,0.44592381,0.583
7MRW,ori_template_pipeline_3,0.44584996,0.589
7MRW,species_interact_uniref_a3m_3,0.44581071,0.524
7MRW,species_interact_uniprot_sto_1,0.44579706,0.586
7MRW,string_interact_uniref_sto_2,0.44575897,0.609
7MRW,string_interact_uniref_a3m_0,0.44574434,0.592
7MRW,ori_template_pipeline_4,0.44574326,0.51
7MRW,string_interact_uniref_sto_0,0.44567201,0.585
7MRW,species_interact_uniprot_sto_4,0.44566169,0.488
7MRW,string_interact_uniref_a3m_4,0.44565004,0.561
7MRW,default_0,0.44563621,0.584
7MRW,string_interact_uniref_a3m_1,0.44562826,0.579
7MRW,uniprot_distance_uniprot_sto_2,0.44562769,0.594
7MRW,uniprot_distance_uniprot_sto_0,0.44561222,0.605
7MRW,species_interact_uniref_sto_4,0.44557923,0.47
7MRW,string_interact_uniprot_sto_1,0.44553402,0.584
7MRW,ori_template_pipeline_1,0.4454909,0.585
7MRW,uniprot_distance_uniprot_sto_3,0.44546497,0.589
7MRW,species_interact_uniref_sto_3,0.44541436,0.506
7MRW,string_interact_uniprot_sto_2,0.44539714,0.599
7MRW,species_interact_uniref_sto_1,0.44539079,0.595
7MRW,string_interact_uniref_sto_1,0.44524291,0.597
7MRW,default_1,0.4448604,0.58
7MRW,default_2,0.44459227,0.588
