MODEL,PRED_DOCKQ
fold_7s0e_5_model_3,0.34890258
fold_7s0e_2_model_4,0.32833871
fold_7s0e_1_model_0,0.27833629
fold_7s0e_2_model_1,0.27448159
fold_7s0e_3_model_1,0.26180106
fold_7s0e_4_model_1,0.26105329
fold_7s0e_5_model_2,0.26088119
fold_7s0e_3_model_4,0.25748587
fold_7s0e_2_model_2,0.25712624
fold_7s0e_2_model_3,0.25127593
fold_7s0e_5_model_1,0.24462403
fold_7s0e_5_model_0,0.24434397
fold_7s0e_3_model_3,0.24263056
fold_7s0e_4_model_2,0.24247535
fold_7s0e_2_model_0,0.24186978
fold_7s0e_4_model_4,0.24055892
fold_7s0e_4_model_0,0.23574683
fold_7s0e_3_model_0,0.23508792
fold_7s0e_1_model_3,0.22774896
fold_7s0e_5_model_4,0.2266793
fold_7s0e_3_model_2,0.22468935
fold_7s0e_1_model_2,0.22062775
fold_7s0e_4_model_3,0.20169626
fold_7s0e_1_model_4,0.19900537
fold_7s0e_1_model_1,0.19085424
