MODEL,PRED_DOCKQ
fold_7su0_3_model_2,0.51140338
fold_7su0_3_model_0,0.49064818
fold_7su0_5_model_3,0.47146854
fold_7su0_4_model_0,0.46150771
fold_7su0_4_model_2,0.46132246
fold_7su0_1_model_0,0.46106514
fold_7su0_4_model_3,0.45764783
fold_7su0_5_model_1,0.4495413
fold_7su0_1_model_2,0.44949314
fold_7su0_4_model_1,0.43040955
fold_7su0_1_model_1,0.42870212
fold_7su0_3_model_3,0.42547962
fold_7su0_2_model_0,0.41445392
fold_7su0_5_model_2,0.40155694
fold_7su0_2_model_4,0.40095335
fold_7su0_3_model_4,0.39910024
fold_7su0_2_model_3,0.37863499
fold_7su0_3_model_1,0.37615731
fold_7su0_4_model_4,0.35942978
fold_7su0_2_model_2,0.3558788
fold_7su0_5_model_0,0.35234421
fold_7su0_2_model_1,0.34295484
fold_7su0_1_model_3,0.32958129
fold_7su0_5_model_4,0.30583557
fold_7su0_1_model_4,0.27264911
