MODEL,PRED_DOCKQ
model_3_multimer_20220423_304319_tidy,0.67431366
model_3_multimer_20220423_931651_tidy,0.65824682
model_1_multimer_20220423_050790_tidy,0.65714949
model_3_multimer_20220423_050790_tidy,0.6540857
model_4_multimer_20220423_050790_tidy,0.65256602
model_3_multimer_20220423_285424_tidy,0.65017927
model_3_multimer_20220423_196616_tidy,0.64848828
ranked_3_tidy,0.64848828
model_1_multimer_20220423_285424_tidy,0.6478712
model_4_multimer_20220423_931651_tidy,0.64755392
model_4_multimer_20220423_285424_tidy,0.6445179
model_4_multimer_20220423_304319_tidy,0.64331442
model_5_multimer_20220423_931651_tidy,0.641087
model_5_multimer_20220423_285424_tidy,0.64019972
model_1_multimer_20220423_931651_tidy,0.63935131
model_5_multimer_20220423_304319_tidy,0.63541961
model_5_multimer_20220423_050790_tidy,0.63044697
model_2_multimer_20220423_931651_tidy,0.62464541
model_1_multimer_20220423_304319_tidy,0.62170887
ranked_2_tidy,0.6186018
model_2_multimer_20220423_196616_tidy,0.6186018
model_4_multimer_20220423_196616_tidy,0.61720318
ranked_1_tidy,0.61720318
model_2_multimer_20220423_285424_tidy,0.61558235
model_2_multimer_20220423_050790_tidy,0.60564357
model_1_multimer_20220423_196616_tidy,0.60184473
ranked_4_tidy,0.60184473
ranked_0_tidy,0.60100812
model_5_multimer_20220423_196616_tidy,0.60100812
model_2_multimer_20220423_304319_tidy,0.58992827
