MODEL,PRED_DOCKQ
model_1_multimer_20220423_005507_tidy,0.65572906
model_5_multimer_20220423_840023_tidy,0.65149039
ranked_4_tidy,0.65149039
model_5_multimer_20220423_005507_tidy,0.64885706
model_1_multimer_20220423_476080_tidy,0.64658123
model_3_multimer_20220423_266634_tidy,0.64550376
ranked_2_tidy,0.64542949
model_4_multimer_20220423_840023_tidy,0.64542949
model_2_multimer_20220423_476080_tidy,0.64338738
model_2_multimer_20220423_005507_tidy,0.64315575
model_4_multimer_20220423_476080_tidy,0.64092439
model_2_multimer_20220423_266634_tidy,0.64057851
model_2_multimer_20220423_840023_tidy,0.64023072
ranked_1_tidy,0.64023072
model_4_multimer_20220423_266634_tidy,0.64013636
model_4_multimer_20220423_005507_tidy,0.63976151
model_4_multimer_20220423_965846_tidy,0.63887191
model_5_multimer_20220423_266634_tidy,0.63729519
model_2_multimer_20220423_965846_tidy,0.63612807
model_3_multimer_20220423_476080_tidy,0.63586718
model_1_multimer_20220423_965846_tidy,0.63458395
model_1_multimer_20220423_266634_tidy,0.63410729
ranked_0_tidy,0.63085806
model_1_multimer_20220423_840023_tidy,0.63085806
model_3_multimer_20220423_005507_tidy,0.63071209
model_5_multimer_20220423_965846_tidy,0.62929648
model_3_multimer_20220423_965846_tidy,0.62823385
model_3_multimer_20220423_840023_tidy,0.62419593
ranked_3_tidy,0.62419593
model_5_multimer_20220423_476080_tidy,0.61527961
