MODEL,PRED_DOCKQ
structure_temp_dimer_2,0.5691359
structure_temp_dimer_4,0.56070942
structure_temp_dimer_1,0.55936503
no_templates_1,0.55388945
no_templates_2,0.54353172
custom_template_with_alphafold_models_3,0.54276311
structure_temp_dimer_a_3,0.54198903
sequence_based_template_with_alphafold_3,0.5419004
ori_temp_pipeline_with_alphafold_models_3,0.54097623
species_interact_uniref_a3m_0,0.53939372
structure_temp_dimer_3,0.53475565
uniclust_oxmatch_a3m_2,0.53464496
structure_temp_dimer_a_2,0.52905858
custom_template_with_alphafold_models_2,0.52854514
structure_temp_dimer_a_4,0.52840179
string_interact_uniref_a3m_0,0.52713925
ori_temp_pipeline_with_alphafold_models_4,0.52672178
pdb_interact_uniref_a3m_2,0.52648121
sequence_based_template_with_alphafold_4,0.52345216
uniprot_distance_uniprot_sto_2,0.52338159
custom_template_with_alphafold_models_4,0.52238798
uniprot_distance_uniprot_sto_1,0.52024931
string_interact_uniprot_sto_3,0.51675755
structure_temp_dimer_0,0.51645917
uniprot_distance_uniref_a3m_4,0.51527506
no_templates_4,0.51455218
ori_temp_pipeline_with_alphafold_models_2,0.51388317
sequence_based_template_with_alphafold_2,0.51330817
sequence_based_template_with_alphafold_1,0.51258963
pdb_interact_uniref_sto_0,0.51039124
uniclust_oxmatch_a3m_0,0.50708944
uniprot_distance_uniref_a3m_1,0.50544274
custom_template_with_alphafold_models_1,0.50507677
structure_temp_dimer_a_1,0.50423378
ori_temp_pipeline_with_alphafold_models_1,0.50304067
uniprot_distance_uniref_a3m_2,0.49881679
uniclust_oxmatch_a3m_4,0.49868074
uniclust_oxmatch_a3m_3,0.49838784
string_interact_uniref_a3m_2,0.49666151
ori_template_pipeline_1,0.49178547
species_interact_uniref_a3m_2,0.49090517
species_interact_uniref_a3m_3,0.48860773
custom_template_file_4,0.48858866
ori_template_pipeline_2,0.48511642
species_interact_uniprot_sto_0,0.48460513
species_interact_uniref_a3m_4,0.48317155
uniprot_distance_uniref_a3m_0,0.48313281
string_interact_uniprot_sto_1,0.47989595
uniprot_distance_uniref_sto_0,0.4794755
pdb_interact_uniprot_sto_0,0.4792726
pdb_interact_uniref_sto_1,0.47782087
species_interact_uniref_a3m_1,0.47761989
string_interact_uniprot_sto_0,0.47748286
ori_temp_pipeline_with_alphafold_models_0,0.47727665
pdb_interact_uniref_a3m_4,0.47690737
pdb_interact_uniprot_sto_4,0.47662276
custom_template_with_alphafold_models_0,0.47421575
sequence_based_template_with_alphafold_0,0.47374555
default_3,0.47348532
structure_temp_dimer_a_0,0.47339463
uniclust_oxmatch_a3m_1,0.47166091
string_interact_uniref_sto_1,0.47156152
pdb_interact_uniref_a3m_3,0.46937332
custom_template_file_0,0.46698111
string_interact_uniref_sto_0,0.46679798
pdb_interact_uniref_a3m_0,0.46537894
string_interact_uniref_a3m_1,0.45969439
species_interact_uniref_sto_2,0.45798296
sequence_based_template_2,0.45620137
sequence_based_template_1,0.45612437
sequence_based_template_4,0.45520747
string_interact_uniref_a3m_3,0.45366383
pdb_interact_uniref_sto_4,0.45343649
pdb_interact_uniref_sto_2,0.45139611
ori_template_pipeline_0,0.44944641
default_2,0.44490111
custom_template_file_2,0.44356161
uniprot_distance_uniref_sto_3,0.44342005
uniprot_distance_uniprot_sto_0,0.44214046
no_templates_0,0.44154435
uniprot_distance_uniref_a3m_3,0.44100532
custom_template_file_3,0.43986532
string_interact_uniprot_sto_2,0.43978897
uniprot_distance_uniref_sto_1,0.43963397
pdb_interact_uniprot_sto_2,0.43742374
pdb_interact_uniref_a3m_1,0.43608844
default_1,0.43413749
pdb_interact_uniprot_sto_1,0.43323004
species_interact_uniref_sto_4,0.43315488
species_interact_uniref_sto_0,0.43307012
string_interact_uniref_sto_2,0.43254223
default_0,0.42967448
custom_template_file_1,0.42924675
uniprot_distance_uniref_sto_2,0.42888904
no_templates_3,0.42778316
ori_template_pipeline_4,0.42604119
species_interact_uniref_sto_1,0.4259128
string_interact_uniref_a3m_4,0.42386711
sequence_based_template_3,0.42137283
string_interact_uniref_sto_4,0.41419813
uniprot_distance_uniprot_sto_4,0.4125331
ori_template_pipeline_3,0.41031966
sequence_based_template_0,0.40930295
pdb_interact_uniref_sto_3,0.39437312
string_interact_uniprot_sto_4,0.39272067
species_interact_uniprot_sto_1,0.39011359
species_interact_uniprot_sto_2,0.38764536
string_interact_uniref_sto_3,0.3808718
uniprot_distance_uniprot_sto_3,0.37607625
uniprot_distance_uniref_sto_4,0.37139434
species_interact_uniref_sto_3,0.37022886
species_interact_uniprot_sto_3,0.36531001
default_4,0.36175019
pdb_interact_uniprot_sto_3,0.3548328
species_interact_uniprot_sto_4,0.35300842
