TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7R40,fold_7r40_4_model_2,0.63571084,0.667
7R40,fold_7r40_4_model_1,0.62847567,0.432
7R40,fold_7r40_3_model_3,0.60473645,0.43
7R40,fold_7r40_2_model_1,0.60022628,0.678
7R40,fold_7r40_1_model_2,0.59984922,0.671
7R40,fold_7r40_3_model_4,0.59643608,0.431
7R40,fold_7r40_4_model_4,0.57557392,0.673
7R40,fold_7r40_5_model_1,0.56776416,0.426
7R40,fold_7r40_5_model_0,0.55533761,0.639
7R40,fold_7r40_1_model_3,0.52449536,0.672
7R40,fold_7r40_2_model_0,0.52280933,0.676
7R40,fold_7r40_1_model_0,0.52161247,0.68
7R40,fold_7r40_1_model_4,0.50117564,0.666
7R40,fold_7r40_2_model_4,0.49828571,0.679
7R40,fold_7r40_3_model_2,0.43540204,0.673
7R40,fold_7r40_4_model_3,0.42820337,0.671
7R40,fold_7r40_3_model_1,0.42674264,0.67
7R40,fold_7r40_2_model_3,0.41587639,0.435
7R40,fold_7r40_5_model_4,0.39558926,0.674
7R40,fold_7r40_3_model_0,0.26089942,0.434
7R40,fold_7r40_1_model_1,0.22818132,0.664
7R40,fold_7r40_5_model_2,0.21298365,0.672
7R40,fold_7r40_5_model_3,0.18187776,0.671
7R40,fold_7r40_2_model_2,0.16909109,0.675
7R40,fold_7r40_4_model_0,0.09207486,0.678
