MODEL,PRED_DOCKQ
model_5_multimer_20220423_018234_tidy,0.07658301
model_1_multimer_20220423_920758_tidy,0.06329351
model_4_multimer_20220423_920758_tidy,0.06283892
ranked_1_tidy,0.05303837
model_1_multimer_20220423_842283_tidy,0.05303837
model_1_multimer_20220423_066513_tidy,0.05262178
model_4_multimer_20220423_338795_tidy,0.05200076
model_5_multimer_20220423_920758_tidy,0.05069591
model_5_multimer_20220423_066513_tidy,0.04954274
model_2_multimer_20220423_842283_tidy,0.04861842
ranked_4_tidy,0.04861842
model_2_multimer_20220423_018234_tidy,0.0472154
model_1_multimer_20220423_338795_tidy,0.04552475
model_4_multimer_20220423_842283_tidy,0.04510309
ranked_3_tidy,0.04510309
model_4_multimer_20220423_066513_tidy,0.0441972
model_5_multimer_20220423_338795_tidy,0.04410063
model_3_multimer_20220423_920758_tidy,0.04367454
model_4_multimer_20220423_018234_tidy,0.04161979
model_5_multimer_20220423_842283_tidy,0.04033556
ranked_0_tidy,0.04033556
model_3_multimer_20220423_338795_tidy,0.04020338
model_2_multimer_20220423_338795_tidy,0.03997878
model_3_multimer_20220423_842283_tidy,0.03682356
ranked_2_tidy,0.03682356
model_2_multimer_20220423_066513_tidy,0.0366451
model_3_multimer_20220423_066513_tidy,0.03607401
model_1_multimer_20220423_018234_tidy,0.03453477
model_3_multimer_20220423_018234_tidy,0.0327921
model_2_multimer_20220423_920758_tidy,0.03230309
