TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
5WK3,model_1_multimer_20220423_199542,0.41326547,0.175
5WK3,model_1_multimer_20220423_681710,0.36380592,0.168
5WK3,model_2_multimer_20220423_199542,0.35163614,0.166
5WK3,model_2_multimer_20220423_193447,0.35122707,0.177
5WK3,model_5_multimer_20220423_199542,0.31214467,0.103
5WK3,model_4_multimer_20220423_193447,0.29603046,0.177
5WK3,model_1_multimer_20220423_635985,0.26624411,0.186
5WK3,ranked_1,0.26624411,0.186
5WK3,model_2_multimer_20220423_681710,0.25437319,0.18
5WK3,model_3_multimer_20220423_635985,0.25421661,0.181
5WK3,ranked_0,0.25421661,0.181
5WK3,model_4_multimer_20220423_649030,0.24909796,0.103
5WK3,model_5_multimer_20220423_193447,0.23407362,0.103
5WK3,model_2_multimer_20220423_649030,0.2231611,0.184
5WK3,model_5_multimer_20220423_649030,0.21674776,0.18
5WK3,model_3_multimer_20220423_649030,0.20959513,0.184
5WK3,model_3_multimer_20220423_199542,0.19612123,0.166
5WK3,model_4_multimer_20220423_199542,0.18370451,0.153
5WK3,model_3_multimer_20220423_681710,0.16315614,0.221
5WK3,ranked_2,0.1536165,0.289
5WK3,model_4_multimer_20220423_635985,0.1536165,0.289
5WK3,model_1_multimer_20220423_193447,0.144811,0.083
5WK3,model_1_multimer_20220423_649030,0.13644865,0.098
5WK3,model_2_multimer_20220423_635985,0.11496999,0.172
5WK3,ranked_4,0.11496999,0.172
5WK3,model_5_multimer_20220423_681710,0.10926163,0.169
5WK3,model_5_multimer_20220423_635985,0.10333051,0.161
5WK3,ranked_3,0.10333051,0.161
5WK3,model_4_multimer_20220423_681710,0.09969191,0.263
5WK3,model_3_multimer_20220423_193447,0.09550378,0.202
