MODEL,PRED_DOCKQ
custom_template_with_alphafold_models_1,0.8589828
structure_temp_dimer_a_1,0.85817796
ori_temp_pipeline_with_alphafold_models_1,0.85725629
sequence_based_template_with_alphafold_1,0.85725629
default_3,0.81818122
pdb_interact_uniref_sto_0,0.80595446
sequence_based_template_with_alphafold_0,0.7951625
ori_temp_pipeline_with_alphafold_models_0,0.7951625
uniprot_distance_uniref_sto_2,0.78640819
structure_temp_dimer_a_0,0.7862283
species_interact_uniref_sto_0,0.77525586
custom_template_with_alphafold_models_0,0.77505976
default_0,0.77310562
uniprot_distance_uniprot_sto_0,0.77129602
uniprot_distance_uniprot_sto_1,0.77073973
string_interact_uniprot_sto_1,0.75757307
pdb_interact_uniprot_sto_0,0.74231714
pdb_interact_uniref_sto_1,0.73879141
uniprot_distance_uniref_sto_0,0.73584831
uniprot_distance_uniprot_sto_2,0.72415096
species_interact_uniref_sto_4,0.69561785
string_interact_uniref_sto_4,0.65919393
custom_template_with_alphafold_models_2,0.57177573
sequence_based_template_with_alphafold_2,0.57083696
ori_temp_pipeline_with_alphafold_models_2,0.57083696
sequence_based_template_4,0.56932008
string_interact_uniref_sto_3,0.55077773
sequence_based_template_2,0.53736883
sequence_based_template_1,0.53396183
uniprot_distance_uniref_sto_1,0.51650774
ori_template_pipeline_4,0.50470108
ori_template_pipeline_1,0.49858886
custom_template_file_0,0.46708596
structure_temp_dimer_a_2,0.46266147
string_interact_uniref_sto_0,0.43358085
pdb_interact_uniref_sto_3,0.43350962
structure_temp_dimer_0,0.41482392
sequence_based_template_3,0.39919344
structure_temp_dimer_a_3,0.38736045
sequence_based_template_with_alphafold_3,0.31198263
ori_temp_pipeline_with_alphafold_models_3,0.31198263
default_1,0.30983034
sequence_based_template_0,0.30571103
no_templates_3,0.28451425
custom_template_with_alphafold_models_3,0.28379306
pdb_interact_uniprot_sto_1,0.28183404
uniprot_distance_uniref_sto_3,0.2620388
string_interact_uniprot_sto_0,0.26142201
species_interact_uniref_a3m_1,0.23652185
pdb_interact_uniref_sto_2,0.23642941
pdb_interact_uniprot_sto_2,0.22584952
ori_template_pipeline_2,0.22134602
uniprot_distance_uniref_a3m_0,0.21680944
uniprot_distance_uniprot_sto_3,0.20256811
uniclust_oxmatch_a3m_1,0.19016853
pdb_interact_uniref_a3m_0,0.18947732
string_interact_uniprot_sto_3,0.18195234
uniclust_oxmatch_a3m_0,0.16185664
string_interact_uniprot_sto_4,0.1604259
string_interact_uniref_a3m_4,0.15768561
uniprot_distance_uniref_a3m_4,0.15728457
species_interact_uniref_sto_1,0.15400252
string_interact_uniref_a3m_0,0.15266195
pdb_interact_uniref_a3m_4,0.15240072
species_interact_uniprot_sto_3,0.15114872
ori_template_pipeline_3,0.14941213
pdb_interact_uniprot_sto_4,0.14818515
uniprot_distance_uniref_a3m_3,0.14139679
uniprot_distance_uniref_a3m_1,0.13658223
uniclust_oxmatch_a3m_4,0.1364239
pdb_interact_uniref_sto_4,0.13585654
string_interact_uniref_a3m_1,0.13572192
default_2,0.13534428
ori_template_pipeline_0,0.13470331
species_interact_uniref_a3m_0,0.13435265
string_interact_uniref_a3m_3,0.13388099
species_interact_uniref_a3m_2,0.13381806
string_interact_uniref_sto_2,0.13268228
species_interact_uniprot_sto_4,0.13080119
string_interact_uniref_a3m_2,0.1282039
uniprot_distance_uniref_sto_4,0.12684633
pdb_interact_uniprot_sto_3,0.12670287
pdb_interact_uniref_a3m_3,0.12573105
pdb_interact_uniref_a3m_2,0.1252076
species_interact_uniref_sto_3,0.12392031
uniprot_distance_uniprot_sto_4,0.12350319
default_4,0.12289935
species_interact_uniref_a3m_3,0.1147828
sequence_based_template_with_alphafold_4,0.11462528
ori_temp_pipeline_with_alphafold_models_4,0.11462528
structure_temp_dimer_a_4,0.11376859
custom_template_with_alphafold_models_4,0.11138389
species_interact_uniprot_sto_2,0.11091831
species_interact_uniprot_sto_1,0.09550056
pdb_interact_uniref_a3m_1,0.09509486
species_interact_uniref_a3m_4,0.0945121
string_interact_uniprot_sto_2,0.09354979
species_interact_uniref_sto_2,0.09211597
string_interact_uniref_sto_1,0.08902162
uniclust_oxmatch_a3m_2,0.08381213
uniprot_distance_uniref_a3m_2,0.07884181
uniclust_oxmatch_a3m_3,0.07179726
species_interact_uniprot_sto_0,0.07132003
no_templates_1,0.06925935
structure_temp_dimer_2,0.05000107
custom_template_file_3,0.03106609
structure_temp_dimer_3,0.03070218
custom_template_file_2,0.02937888
no_templates_2,0.02561852
no_templates_4,0.02519876
structure_temp_dimer_1,0.02312634
custom_template_file_1,0.02108455
custom_template_file_4,0.02024408
no_templates_0,0.01788078
structure_temp_dimer_4,0.01456197
