MODEL,PRED_DOCKQ
fold_7ued_3_model_2,0.63708985
fold_7ued_2_model_0,0.60493493
fold_7ued_3_model_1,0.58455396
fold_7ued_5_model_3,0.57748264
fold_7ued_1_model_4,0.57311565
fold_7ued_4_model_0,0.56505471
fold_7ued_1_model_1,0.5477224
fold_7ued_1_model_0,0.50993162
fold_7ued_1_model_3,0.46128815
fold_7ued_3_model_3,0.36456147
fold_7ued_3_model_4,0.34430069
fold_7ued_4_model_3,0.33918545
fold_7ued_1_model_2,0.33510321
fold_7ued_5_model_4,0.30033219
fold_7ued_3_model_0,0.25214425
fold_7ued_4_model_2,0.22565633
fold_7ued_4_model_4,0.17176919
fold_7ued_5_model_1,0.15712489
fold_7ued_5_model_0,0.13093953
fold_7ued_2_model_1,0.12941509
fold_7ued_5_model_2,0.12829125
fold_7ued_2_model_4,0.11469965
fold_7ued_2_model_3,0.11266775
fold_7ued_4_model_1,0.10399126
fold_7ued_2_model_2,0.08783669
