TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7S0E,fold_7s0e_2_model_4,0.44707358,0.508
7S0E,fold_7s0e_3_model_3,0.34668565,0.503
7S0E,fold_7s0e_3_model_4,0.34232152,0.5
7S0E,fold_7s0e_4_model_3,0.26654842,0.513
7S0E,fold_7s0e_1_model_4,0.24628925,0.507
7S0E,fold_7s0e_4_model_1,0.23957671,0.505
7S0E,fold_7s0e_5_model_3,0.22674164,0.501
7S0E,fold_7s0e_3_model_1,0.20289224,0.507
7S0E,fold_7s0e_5_model_0,0.19058985,0.505
7S0E,fold_7s0e_4_model_2,0.18587746,0.512
7S0E,fold_7s0e_3_model_2,0.18258335,0.505
7S0E,fold_7s0e_2_model_1,0.17836492,0.506
7S0E,fold_7s0e_2_model_3,0.168779,0.499
7S0E,fold_7s0e_5_model_2,0.16384621,0.502
7S0E,fold_7s0e_3_model_0,0.15377916,0.502
7S0E,fold_7s0e_2_model_2,0.14967689,0.5
7S0E,fold_7s0e_4_model_4,0.13618346,0.505
7S0E,fold_7s0e_4_model_0,0.13171564,0.502
7S0E,fold_7s0e_5_model_1,0.12160588,0.497
7S0E,fold_7s0e_1_model_2,0.12160426,0.509
7S0E,fold_7s0e_5_model_4,0.11602095,0.508
7S0E,fold_7s0e_1_model_0,0.10376751,0.502
7S0E,fold_7s0e_2_model_0,0.10209072,0.505
7S0E,fold_7s0e_1_model_1,0.08482576,0.504
7S0E,fold_7s0e_1_model_3,0.06964502,0.495
