MODEL,PRED_DOCKQ
fold_7x7o_1_model_1,0.70789897
fold_7x7o_3_model_1,0.70498449
fold_7x7o_1_model_2,0.69698179
fold_7x7o_2_model_0,0.69534093
fold_7x7o_5_model_0,0.66775823
fold_7x7o_4_model_1,0.66510218
fold_7x7o_2_model_3,0.6630128
fold_7x7o_2_model_2,0.64696485
fold_7x7o_2_model_4,0.64574724
fold_7x7o_3_model_0,0.63522393
fold_7x7o_3_model_2,0.62918848
fold_7x7o_1_model_3,0.54191703
fold_7x7o_1_model_0,0.50654066
fold_7x7o_5_model_2,0.49777666
fold_7x7o_5_model_1,0.48595867
fold_7x7o_5_model_4,0.45029923
fold_7x7o_4_model_2,0.44368216
fold_7x7o_1_model_4,0.440521
fold_7x7o_5_model_3,0.43018934
fold_7x7o_3_model_4,0.42256269
fold_7x7o_3_model_3,0.40052027
fold_7x7o_4_model_0,0.37327212
fold_7x7o_2_model_1,0.37218875
fold_7x7o_4_model_3,0.37177369
fold_7x7o_4_model_4,0.35348603
