MODEL,PRED_DOCKQ
fold_7vyr_1_model_3,0.52182788
fold_7vyr_5_model_1,0.44547847
fold_7vyr_2_model_3,0.43145257
fold_7vyr_4_model_3,0.41358316
fold_7vyr_3_model_0,0.4064917
fold_7vyr_1_model_2,0.38637772
fold_7vyr_2_model_4,0.37881383
fold_7vyr_3_model_3,0.37599766
fold_7vyr_5_model_3,0.36560023
fold_7vyr_4_model_1,0.36251953
fold_7vyr_4_model_0,0.36079925
fold_7vyr_5_model_0,0.33294266
fold_7vyr_2_model_1,0.32964209
fold_7vyr_5_model_4,0.31511241
fold_7vyr_1_model_1,0.31154749
fold_7vyr_3_model_1,0.30327466
fold_7vyr_2_model_2,0.29067579
fold_7vyr_4_model_4,0.27994144
fold_7vyr_3_model_2,0.27806777
fold_7vyr_5_model_2,0.24676691
fold_7vyr_2_model_0,0.24556151
fold_7vyr_1_model_0,0.2393837
fold_7vyr_4_model_2,0.22079496
fold_7vyr_3_model_4,0.17479879
fold_7vyr_1_model_4,0.11821529
