TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7SGM,fold_7sgm_2_model_1,0.28168252,0.833
7SGM,fold_7sgm_2_model_4,0.187453,0.793
7SGM,fold_7sgm_2_model_2,0.16054523,0.837
7SGM,fold_7sgm_5_model_0,0.13418305,0.545
7SGM,fold_7sgm_5_model_4,0.12642248,0.564
7SGM,fold_7sgm_1_model_3,0.12550667,0.829
7SGM,fold_7sgm_4_model_4,0.11132926,0.548
7SGM,fold_7sgm_4_model_2,0.10674502,0.576
7SGM,fold_7sgm_1_model_4,0.10317415,0.851
7SGM,fold_7sgm_4_model_1,0.09767221,0.54
7SGM,fold_7sgm_2_model_0,0.09670148,0.566
7SGM,fold_7sgm_1_model_1,0.09324127,0.535
7SGM,fold_7sgm_1_model_0,0.08938924,0.555
7SGM,fold_7sgm_3_model_3,0.08912914,0.783
7SGM,fold_7sgm_3_model_0,0.08750322,0.845
7SGM,fold_7sgm_5_model_3,0.08708113,0.559
7SGM,fold_7sgm_4_model_0,0.07714128,0.543
7SGM,fold_7sgm_5_model_2,0.0770979,0.571
7SGM,fold_7sgm_3_model_1,0.07440737,0.834
7SGM,fold_7sgm_3_model_4,0.0658,0.835
7SGM,fold_7sgm_1_model_2,0.06569231,0.563
7SGM,fold_7sgm_4_model_3,0.06343395,0.572
7SGM,fold_7sgm_5_model_1,0.05287559,0.564
7SGM,fold_7sgm_2_model_3,0.05111817,0.824
7SGM,fold_7sgm_3_model_2,0.04492877,0.817
