TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7R40,fold_7r40_5_model_3,0.33432156,0.671
7R40,fold_7r40_3_model_1,0.33261698,0.67
7R40,fold_7r40_4_model_1,0.33259091,0.432
7R40,fold_7r40_3_model_3,0.33252561,0.43
7R40,fold_7r40_1_model_3,0.33240238,0.672
7R40,fold_7r40_1_model_4,0.33208862,0.666
7R40,fold_7r40_4_model_0,0.33208495,0.678
7R40,fold_7r40_3_model_4,0.33146,0.431
7R40,fold_7r40_1_model_1,0.33139315,0.664
7R40,fold_7r40_4_model_3,0.33107093,0.671
7R40,fold_7r40_2_model_1,0.33096233,0.678
7R40,fold_7r40_5_model_1,0.33089513,0.426
7R40,fold_7r40_4_model_4,0.33087772,0.673
7R40,fold_7r40_2_model_2,0.33086538,0.675
7R40,fold_7r40_2_model_3,0.33083457,0.435
7R40,fold_7r40_3_model_2,0.33079207,0.673
7R40,fold_7r40_1_model_2,0.33077428,0.671
7R40,fold_7r40_5_model_0,0.3307105,0.639
7R40,fold_7r40_1_model_0,0.33054692,0.68
7R40,fold_7r40_3_model_0,0.33037668,0.434
7R40,fold_7r40_4_model_2,0.33031294,0.667
7R40,fold_7r40_2_model_0,0.33023247,0.676
7R40,fold_7r40_2_model_4,0.32980043,0.679
7R40,fold_7r40_5_model_4,0.32893565,0.674
7R40,fold_7r40_5_model_2,0.32806465,0.672
