MODEL,PRED_DOCKQ
fold_7r40_5_model_3,0.33432156
fold_7r40_3_model_1,0.33261698
fold_7r40_4_model_1,0.33259091
fold_7r40_3_model_3,0.33252561
fold_7r40_1_model_3,0.33240238
fold_7r40_1_model_4,0.33208862
fold_7r40_4_model_0,0.33208495
fold_7r40_3_model_4,0.33146
fold_7r40_1_model_1,0.33139315
fold_7r40_4_model_3,0.33107093
fold_7r40_2_model_1,0.33096233
fold_7r40_5_model_1,0.33089513
fold_7r40_4_model_4,0.33087772
fold_7r40_2_model_2,0.33086538
fold_7r40_2_model_3,0.33083457
fold_7r40_3_model_2,0.33079207
fold_7r40_1_model_2,0.33077428
fold_7r40_5_model_0,0.3307105
fold_7r40_1_model_0,0.33054692
fold_7r40_3_model_0,0.33037668
fold_7r40_4_model_2,0.33031294
fold_7r40_2_model_0,0.33023247
fold_7r40_2_model_4,0.32980043
fold_7r40_5_model_4,0.32893565
fold_7r40_5_model_2,0.32806465
