MODEL,PRED_DOCKQ
fold_7s0e_5_model_1,0.33482835
fold_7s0e_1_model_2,0.33440387
fold_7s0e_4_model_4,0.33426404
fold_7s0e_3_model_1,0.33411273
fold_7s0e_4_model_2,0.33311087
fold_7s0e_2_model_1,0.33292612
fold_7s0e_2_model_3,0.33291459
fold_7s0e_2_model_2,0.33278972
fold_7s0e_3_model_4,0.33274215
fold_7s0e_4_model_0,0.33272994
fold_7s0e_4_model_1,0.33272099
fold_7s0e_2_model_0,0.33248425
fold_7s0e_1_model_0,0.33236408
fold_7s0e_4_model_3,0.33235651
fold_7s0e_5_model_2,0.3319369
fold_7s0e_3_model_0,0.33180586
fold_7s0e_1_model_4,0.33171245
fold_7s0e_3_model_3,0.33130884
fold_7s0e_1_model_1,0.3312948
fold_7s0e_1_model_3,0.33095092
fold_7s0e_5_model_4,0.33039889
fold_7s0e_3_model_2,0.33001578
fold_7s0e_2_model_4,0.32986546
fold_7s0e_5_model_0,0.32981858
fold_7s0e_5_model_3,0.32955319
