TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7SJO,fold_7sjo_5_model_4,0.33361787,0.571
7SJO,fold_7sjo_3_model_0,0.33247268,0.571
7SJO,fold_7sjo_5_model_0,0.33238146,0.57
7SJO,fold_7sjo_3_model_3,0.3321825,0.579
7SJO,fold_7sjo_4_model_2,0.3320795,0.586
7SJO,fold_7sjo_5_model_2,0.33185834,0.575
7SJO,fold_7sjo_2_model_4,0.33185259,0.559
7SJO,fold_7sjo_3_model_1,0.33172846,0.571
7SJO,fold_7sjo_1_model_3,0.33157936,0.574
7SJO,fold_7sjo_1_model_0,0.33146197,0.573
7SJO,fold_7sjo_1_model_1,0.33134076,0.567
7SJO,fold_7sjo_5_model_3,0.33127892,0.566
7SJO,fold_7sjo_2_model_1,0.33116353,0.598
7SJO,fold_7sjo_2_model_3,0.33080071,0.59
7SJO,fold_7sjo_1_model_4,0.33069852,0.569
7SJO,fold_7sjo_4_model_4,0.3306213,0.562
7SJO,fold_7sjo_2_model_2,0.3305546,0.619
7SJO,fold_7sjo_3_model_2,0.33043557,0.569
7SJO,fold_7sjo_3_model_4,0.33042654,0.577
7SJO,fold_7sjo_4_model_3,0.33041772,0.551
7SJO,fold_7sjo_4_model_0,0.33020374,0.616
7SJO,fold_7sjo_2_model_0,0.33001375,0.598
7SJO,fold_7sjo_5_model_1,0.32962903,0.57
7SJO,fold_7sjo_1_model_2,0.32939401,0.571
7SJO,fold_7sjo_4_model_1,0.32935694,0.62
