TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7SWN,fold_7swn_4_model_1,0.33237666,0.483
7SWN,fold_7swn_5_model_4,0.33168849,0.673
7SWN,fold_7swn_5_model_1,0.3311426,0.676
7SWN,fold_7swn_4_model_2,0.33073434,0.689
7SWN,fold_7swn_2_model_3,0.33056647,0.726
7SWN,fold_7swn_2_model_1,0.33054611,0.708
7SWN,fold_7swn_3_model_2,0.33053595,0.719
7SWN,fold_7swn_2_model_0,0.3304182,0.72
7SWN,fold_7swn_3_model_3,0.33023566,0.727
7SWN,fold_7swn_3_model_4,0.33018512,0.72
7SWN,fold_7swn_1_model_2,0.33016154,0.716
7SWN,fold_7swn_4_model_0,0.32978302,0.612
7SWN,fold_7swn_1_model_1,0.32962021,0.72
7SWN,fold_7swn_3_model_0,0.32943279,0.715
7SWN,fold_7swn_1_model_4,0.32923433,0.729
7SWN,fold_7swn_1_model_0,0.32916462,0.723
7SWN,fold_7swn_4_model_3,0.32890502,0.599
7SWN,fold_7swn_4_model_4,0.32864115,0.541
7SWN,fold_7swn_1_model_3,0.3285678,0.716
7SWN,fold_7swn_5_model_0,0.32840726,0.69
7SWN,fold_7swn_5_model_3,0.32811549,0.649
7SWN,fold_7swn_3_model_1,0.32773244,0.718
7SWN,fold_7swn_2_model_2,0.32699996,0.726
7SWN,fold_7swn_2_model_4,0.32690942,0.725
7SWN,fold_7swn_5_model_2,0.32484636,0.639
