MODEL,PRED_DOCKQ
fold_7t77_5_model_4,0.33257458
fold_7t77_4_model_4,0.33188963
fold_7t77_4_model_2,0.33183816
fold_7t77_5_model_3,0.33180419
fold_7t77_2_model_0,0.33175901
fold_7t77_5_model_1,0.33119401
fold_7t77_1_model_0,0.33116379
fold_7t77_5_model_0,0.33107004
fold_7t77_1_model_3,0.33063573
fold_7t77_2_model_3,0.33061373
fold_7t77_3_model_3,0.33056971
fold_7t77_1_model_2,0.33023742
fold_7t77_3_model_0,0.33015069
fold_7t77_2_model_1,0.32995847
fold_7t77_3_model_4,0.32973942
fold_7t77_1_model_1,0.32971555
fold_7t77_5_model_2,0.32950163
fold_7t77_3_model_2,0.32937729
fold_7t77_4_model_0,0.32932508
fold_7t77_2_model_4,0.32912156
fold_7t77_3_model_1,0.32852814
fold_7t77_4_model_3,0.3285051
fold_7t77_2_model_2,0.32792416
fold_7t77_4_model_1,0.32747149
fold_7t77_1_model_4,0.32743016
