TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7TEE,fold_7tee_3_model_0,0.33399376,0.509
7TEE,fold_7tee_2_model_1,0.33369806,0.419
7TEE,fold_7tee_2_model_2,0.3336547,0.414
7TEE,fold_7tee_5_model_3,0.33342719,0.493
7TEE,fold_7tee_1_model_1,0.33340493,0.424
7TEE,fold_7tee_4_model_1,0.33337274,0.415
7TEE,fold_7tee_2_model_0,0.33312124,0.424
7TEE,fold_7tee_5_model_1,0.33293688,0.412
7TEE,fold_7tee_3_model_2,0.33284983,0.542
7TEE,fold_7tee_1_model_3,0.33283812,0.408
7TEE,fold_7tee_2_model_4,0.33279642,0.577
7TEE,fold_7tee_4_model_3,0.33275563,0.566
7TEE,fold_7tee_5_model_4,0.3323397,0.502
7TEE,fold_7tee_5_model_0,0.33229342,0.422
7TEE,fold_7tee_3_model_4,0.33226383,0.488
7TEE,fold_7tee_2_model_3,0.33222488,0.405
7TEE,fold_7tee_4_model_4,0.33222002,0.519
7TEE,fold_7tee_3_model_1,0.33170244,0.533
7TEE,fold_7tee_1_model_4,0.3315635,0.537
7TEE,fold_7tee_3_model_3,0.3312836,0.531
7TEE,fold_7tee_1_model_2,0.33126926,0.415
7TEE,fold_7tee_4_model_2,0.33115724,0.411
7TEE,fold_7tee_1_model_0,0.33071983,0.42
7TEE,fold_7tee_4_model_0,0.3289994,0.417
7TEE,fold_7tee_5_model_2,0.32845551,0.406
