TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
3WD5,model_3_multimer_20220423_662178,0.33279592,0.07
3WD5,model_5_multimer_20220423_748853,0.33266702,0.725
3WD5,model_5_multimer_20220423_528879,0.33169237,0.736
3WD5,model_1_multimer_20220423_748853,0.33165312,0.069
3WD5,model_4_multimer_20220423_477418,0.33160824,0.027
3WD5,model_3_multimer_20220423_528879,0.3310962,0.064
3WD5,model_2_multimer_20220423_662178,0.33074474,0.057
3WD5,model_2_multimer_20220423_477418,0.33066916,0.053
3WD5,model_2_multimer_20220423_528879,0.3303363,0.096
3WD5,model_1_multimer_20220423_528879,0.33030778,0.109
3WD5,model_2_multimer_20220423_110354,0.33030656,0.099
3WD5,ranked_3,0.33030656,0.099
3WD5,model_2_multimer_20220423_748853,0.33021688,0.239
3WD5,model_4_multimer_20220423_528879,0.33008087,0.032
3WD5,model_3_multimer_20220423_748853,0.33008063,0.104
3WD5,model_1_multimer_20220423_662178,0.3300212,0.214
3WD5,model_5_multimer_20220423_662178,0.32979393,0.304
3WD5,model_3_multimer_20220423_477418,0.32974216,0.146
3WD5,ranked_1,0.32952422,0.504
3WD5,model_5_multimer_20220423_110354,0.32952422,0.504
3WD5,ranked_0,0.32926118,0.598
3WD5,model_4_multimer_20220423_110354,0.32926118,0.598
3WD5,ranked_2,0.32917064,0.419
3WD5,model_1_multimer_20220423_110354,0.32917064,0.419
3WD5,model_4_multimer_20220423_662178,0.32860518,0.627
3WD5,model_4_multimer_20220423_748853,0.3282254,0.631
3WD5,model_5_multimer_20220423_477418,0.32821831,0.52
3WD5,model_3_multimer_20220423_110354,0.32806268,0.084
3WD5,ranked_4,0.32806268,0.084
3WD5,model_1_multimer_20220423_477418,0.32790697,0.544
