TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7SU1,fold_7su1_2_model_0,0.35999995,0.843
7SU1,fold_7su1_4_model_0,0.35985968,0.848
7SU1,fold_7su1_4_model_2,0.35971832,0.854
7SU1,fold_7su1_1_model_0,0.35939768,0.847
7SU1,fold_7su1_2_model_2,0.35936049,0.858
7SU1,fold_7su1_3_model_3,0.35929114,0.857
7SU1,fold_7su1_1_model_2,0.35902092,0.84
7SU1,fold_7su1_5_model_2,0.35888377,0.847
7SU1,fold_7su1_5_model_3,0.35876453,0.859
7SU1,fold_7su1_5_model_1,0.35875541,0.838
7SU1,fold_7su1_3_model_1,0.35857248,0.84
7SU1,fold_7su1_1_model_4,0.35843572,0.833
7SU1,fold_7su1_4_model_4,0.35832876,0.845
7SU1,fold_7su1_3_model_2,0.35828421,0.847
7SU1,fold_7su1_4_model_3,0.35805041,0.858
7SU1,fold_7su1_3_model_0,0.35798341,0.842
7SU1,fold_7su1_3_model_4,0.35797527,0.846
7SU1,fold_7su1_5_model_0,0.35792488,0.854
7SU1,fold_7su1_5_model_4,0.35791177,0.827
7SU1,fold_7su1_1_model_3,0.35784122,0.848
7SU1,fold_7su1_2_model_3,0.35771963,0.845
7SU1,fold_7su1_1_model_1,0.35767394,0.854
7SU1,fold_7su1_2_model_4,0.35763508,0.849
7SU1,fold_7su1_4_model_1,0.35740608,0.846
7SU1,fold_7su1_2_model_1,0.35652649,0.857
