TARGET,MODEL,PRED_DOCKQ,TRUE_DOCKQ
7TFO,fold_7tfo_3_model_0,0.35888407,0.446
7TFO,fold_7tfo_1_model_1,0.35882309,0.456
7TFO,fold_7tfo_2_model_1,0.35828573,0.456
7TFO,fold_7tfo_5_model_1,0.3581228,0.465
7TFO,fold_7tfo_3_model_3,0.35796219,0.456
7TFO,fold_7tfo_3_model_1,0.35778093,0.448
7TFO,fold_7tfo_1_model_3,0.35777855,0.452
7TFO,fold_7tfo_2_model_2,0.35760859,0.462
7TFO,fold_7tfo_4_model_0,0.35755643,0.441
7TFO,fold_7tfo_3_model_4,0.35743666,0.456
7TFO,fold_7tfo_5_model_2,0.35726872,0.461
7TFO,fold_7tfo_1_model_4,0.35725075,0.452
7TFO,fold_7tfo_2_model_3,0.35718542,0.456
7TFO,fold_7tfo_5_model_0,0.35715851,0.459
7TFO,fold_7tfo_4_model_3,0.35704166,0.45
7TFO,fold_7tfo_1_model_0,0.35675851,0.448
7TFO,fold_7tfo_4_model_2,0.35653585,0.449
7TFO,fold_7tfo_4_model_1,0.35628873,0.445
7TFO,fold_7tfo_4_model_4,0.35605049,0.452
7TFO,fold_7tfo_3_model_2,0.35595348,0.454
7TFO,fold_7tfo_1_model_2,0.3558493,0.448
7TFO,fold_7tfo_2_model_4,0.35551944,0.478
7TFO,fold_7tfo_5_model_4,0.35477883,0.46
7TFO,fold_7tfo_2_model_0,0.35463303,0.446
7TFO,fold_7tfo_5_model_3,0.35418186,0.464
